run_name,precision-mean,precision-std,recall-mean,recall-std,accuracy-mean,accuracy-std,balanced_accuracy-mean,balanced_accuracy-std,f1-mean,f1-std,roc_auc-mean,roc_auc-std,auc_pr-mean,auc_pr-std,tpr-mean,tpr-std,tnr-mean,tnr-std,fpr-mean,fpr-std,fnr-mean,fnr-std
advanced-and-fourier,0.7867460001970384,0.14766015978377023,0.9107454232589822,0.16048782449617616,0.7769895557110484,0.13610800563481573,0.7498293994718083,0.15117508945511127,0.8256780514248021,0.11430920401881468,0.7593845887288686,0.14503479067536676,0.8795567360709571,0.07695869868071431,0.9107454232589822,0.16048782449617616,0.5889133756846342,0.2978057274836047,0.4110866243153658,0.2978057274836045,0.08925457674101771,0.1604878244961762
advanced-and-fourier-min,0.7725407684446592,0.15100500897676403,0.957654271336494,0.10413769048473445,0.7843749279982354,0.1247368295392597,0.7305063410210292,0.1617013754033387,0.8404555166825781,0.09792174965575508,0.7380808156448413,0.163496259849035,0.8770878051400247,0.07881995014522164,0.957654271336494,0.10413769048473445,0.5033584107055643,0.3398922267380032,0.4966415892944357,0.339892226738003,0.04234572866350605,0.1041376904847345
advanced-only,0.7707073941460694,0.15104443861983863,0.9500572018622486,0.10340950596234248,0.77974387657539,0.12548220135896732,0.7262980836953792,0.16218352554854362,0.8365387398913003,0.0985562165635667,0.7366344258917881,0.16152680726056096,0.8673170311664996,0.09254640745312413,0.9500572018622486,0.10340950596234248,0.5025389655285097,0.33917347661774433,0.4974610344714903,0.3391734766177443,0.04994279813775143,0.10340950596234257
baseline-advanced-and-fourier,0.7871570491931581,0.14751847764173057,0.9108034341397124,0.16061551623417142,0.7772854372751284,0.13582853171936976,0.7502812252289253,0.15075461323556125,0.825843709370309,0.11411797878190834,0.7601154763006588,0.14442036055182358,0.8798871078806166,0.07665778098883508,0.9108034341397124,0.16061551623417142,0.589759016318138,0.2976805057364886,0.410240983681862,0.29768050573648874,0.08919656586028764,0.16061551623417147
baseline-advanced-and-fourier-min,0.7727170857947242,0.15099237565257714,0.9569535916103238,0.10499059637512653,0.7841425746830157,0.1247212585450428,0.7305500230809227,0.16138111433514363,0.8401677934399452,0.09807165204723538,0.7386146826601335,0.1623468578844162,0.8765159689990799,0.07933901122538341,0.9569535916103238,0.10499059637512653,0.5041464545515216,0.339468891535386,0.4958535454484783,0.339468891535386,0.043046408389676195,0.10499059637512646
baseline-and-advanced,0.7708980972050351,0.1510307740497485,0.9493107888102368,0.10403882691463057,0.7795143369831101,0.1253739987811233,0.7263618454479138,0.16183491138583547,0.8362601264157252,0.09861185398533175,0.7378054392623975,0.15953819070747607,0.8681649119111103,0.09059854645896342,0.9493107888102368,0.10403882691463057,0.5034129020855911,0.33870412149912027,0.49658709791440897,0.33870412149912016,0.05068921118976329,0.10403882691463069
baseline-and-fourier,0.7891115577492577,0.14474747903486565,0.878976330477901,0.18411902883815134,0.7667158675246043,0.14232221648444987,0.7500161857442182,0.14882646416731823,0.8117929894948235,0.12468669326556041,0.755979356469471,0.14611595722886023,0.8755230252287256,0.08064787529919606,0.878976330477901,0.18411902883815134,0.6210560410105355,0.26767451202495485,0.37894395898946454,0.2676745120249549,0.12102366952209896,0.18411902883815134
baseline-and-fourier-min,0.7627544388651901,0.14258307469320683,0.9906920024639874,0.011989735020388664,0.7967156453029584,0.12293208787420526,0.7199814376133162,0.17243009924984534,0.8544418647504078,0.09246056810023037,0.8304506084058204,0.13500714390193028,0.8761242575971134,0.11260746407171635,0.9906920024639874,0.011989735020388664,0.4492708727626451,0.34085658869053215,0.5507291272373549,0.34085658869053226,0.009307997536012627,0.011989735020388564
baseline-only,0.7785039592572591,0.1472715602357371,0.9080403772936689,0.137361195352268,0.7757545396407853,0.1198544185507309,0.7360600033793594,0.14497856161171738,0.8228190588343648,0.11748180828715248,0.7782979104403484,0.13557328772607102,0.7978653602714632,0.14290545845230632,0.9080403772936689,0.137361195352268,0.5640796294650499,0.2942541020698298,0.43592037053495014,0.29425410206982994,0.09195962270633112,0.13736119535226796
fourier-min-only,0.7549305159648385,0.14435132252084892,0.9940341363133053,0.0058686902173012085,0.7891947334234446,0.12663560606957017,0.7060391446919271,0.18117564648963233,0.8504972849829602,0.09445369664575066,0.8226820995453139,0.14271081404072555,0.8665743619725556,0.12300408870084194,0.9940341363133053,0.0058686902173012085,0.4180441530705488,0.359631728884257,0.5819558469294511,0.3596317288842569,0.0059658636866947315,0.0058686902173012015
fourier-only,0.78848430014742,0.14502911572950225,0.8789275800045929,0.18395859069692816,0.7662681899983077,0.1427209278479863,0.7493135166288312,0.14942724022896725,0.8115466756462227,0.12494176747622078,0.7545848192725626,0.14725582041314322,0.8750299380991295,0.08103802359737065,0.8789275800045929,0.18395859069692816,0.6196994532530694,0.26779930089668047,0.38030054674693065,0.26779930089668047,0.12107241999540705,0.18395859069692816
