run_name,precision-mean,precision-std,recall-mean,recall-std,accuracy-mean,accuracy-std,balanced_accuracy-mean,balanced_accuracy-std,f1-mean,f1-std,roc_auc-mean,roc_auc-std,auc_pr-mean,auc_pr-std,tpr-mean,tpr-std,tnr-mean,tnr-std,fpr-mean,fpr-std,fnr-mean,fnr-std
advanced-and-fourier,0.8094080313674692,0.14642020282102985,0.9007994003794095,0.17285711956970573,0.8026364908484354,0.12617300205298204,0.7752968824333264,0.13732028244194,0.834613791098574,0.12814133282892265,0.7856768831927841,0.13700373870159857,0.8876976640709291,0.08649525517173211,0.9007994003794095,0.17285711956970573,0.6497943644872434,0.2829944951792485,0.35020563551275663,0.2829944951792486,0.0992005996205904,0.17285711956970576
advanced-and-fourier-min,0.7943417350087163,0.137527641815845,0.9933706312063396,0.00930884248405225,0.8337070525009611,0.11079177033983204,0.7797891617396566,0.14138536267298132,0.8760405607515768,0.0877131043769896,0.8107327296896648,0.11814711035256256,0.9006203740369736,0.07042601695011007,0.9933706312063396,0.00930884248405225,0.5662076922729737,0.27895158204598686,0.4337923077270262,0.27895158204598686,0.0066293687936603935,0.009308842484052181
advanced-only,0.7845158970104331,0.1390121602678147,0.9848528837414904,0.04448265862213831,0.8183709349824091,0.11113307798199451,0.7644438510031765,0.14028015603108684,0.8653212136144826,0.08794045455963914,0.7927132618363069,0.11952067940758677,0.8899221465663903,0.07554053698702869,0.9848528837414904,0.04448265862213831,0.5440348182648626,0.2792306493722796,0.45596518173513745,0.2792306493722797,0.015147116258509653,0.044482658622138314
baseline-advanced-and-fourier,0.8111008734451162,0.14630316626435327,0.8990790619524094,0.17776430853270112,0.8026497072593293,0.1274321467554543,0.7761727256979848,0.1381306517463231,0.8334811065059639,0.13248614010141685,0.7868847098702736,0.13795141224414859,0.8883986060619092,0.08546340961180718,0.8990790619524094,0.17776430853270112,0.6532663894435602,0.28363995330799496,0.3467336105564398,0.2836399533079952,0.10092093804759059,0.17776430853270117
baseline-advanced-and-fourier-min,0.7951640140007039,0.13753528978719246,0.9930651233734668,0.009233574411641299,0.8343450580643316,0.11067593822964295,0.7811111790665657,0.14123067655524144,0.8764238309993686,0.08761111082571645,0.8115330747727272,0.11844970467752217,0.9010919342202677,0.07000793855931249,0.9930651233734668,0.009233574411641299,0.5691572347596646,0.27847686793397086,0.43084276524033543,0.27847686793397075,0.006934876626533278,0.00923357441164126
baseline-and-advanced,0.7851908358673418,0.1391909997210075,0.9839248901728488,0.047304346416109255,0.8183044870108318,0.11109161192246896,0.7658454734777946,0.13947235427054122,0.8651881119472589,0.08793733898846054,0.7939179883114066,0.11850050250830191,0.8902678200114174,0.07525101967472676,0.9839248901728488,0.047304346416109255,0.5477660567827405,0.27736795900066297,0.4522339432172595,0.277367959000663,0.0160751098271512,0.04730434641610929
baseline-and-fourier,0.7995052458358725,0.14544430574225098,0.8638132932892085,0.216853807196614,0.7884729975920634,0.1508058713799063,0.7643952631943255,0.15204202954713444,0.8120740087417458,0.16993064570051583,0.7796980193654128,0.1512915226583838,0.8762580242040877,0.10314716148478352,0.8638132932892085,0.216853807196614,0.6649772330994426,0.24287994506280874,0.3350227669005574,0.24287994506280874,0.1361867067107915,0.21685380719661398
baseline-and-fourier-min,0.7951644965738072,0.140376745249728,0.9932383667576387,0.004557582426403221,0.8335877475418935,0.11446595580253822,0.7782634425339003,0.148589796915678,0.8763032971838842,0.09022993303025242,0.8606055405852825,0.12412287283345806,0.9016456421444821,0.09858310990226443,0.9932383667576387,0.004557582426403221,0.5632885183101621,0.2939968363841059,0.4367114816898378,0.2939968363841059,0.006761633242361289,0.004557582426403228
baseline-only,0.787213861087346,0.1452398558340563,0.9341037481899304,0.09911610246874387,0.7936282406401653,0.12006173299338406,0.755171544418354,0.14314927054603505,0.8421704753949315,0.09738868264074174,0.8017276655034453,0.12879126061593044,0.8184770866491802,0.13726113131401202,0.9341037481899304,0.09911610246874387,0.5762393406467777,0.2836976600829896,0.42376065935322227,0.2836976600829898,0.06589625181006971,0.09911610246874389
fourier-min-only,0.7703647569048341,0.14238106999200853,0.9957424332967014,0.004212633361146026,0.8087054490664484,0.11956674827140733,0.7381776890174916,0.1588644664965825,0.8613720891951834,0.09272800015363243,0.8351218280451349,0.14419100744345179,0.8795234897528159,0.12306023052214443,0.9957424332967014,0.004212633361146026,0.480612944738282,0.31562909043941323,0.519387055261718,0.31562909043941334,0.004257566703298613,0.004212633361146022
fourier-only,0.7775977381207759,0.14579126212834675,0.8652561771144418,0.2735089397322011,0.7710591714227673,0.16321081959642258,0.7356652990755426,0.16051884017635645,0.7858930005729751,0.2237430846996405,0.7493084607672915,0.15710152707924935,0.8652273580915927,0.10938326184428372,0.8652561771144418,0.2735089397322011,0.6060744210366433,0.2821009325176976,0.3939255789633566,0.2821009325176978,0.1347438228855582,0.2735089397322011
