run_name,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
advanced-and-fourier,0.7867460001970384,0.9107454232589822,0.7769895557110484,0.7498293994718083,0.8256780514248021,0.7593845887288686,0.8795567360709571,0.9107454232589822,0.5889133756846342,0.4110866243153658,0.08925457674101771
advanced-and-fourier-min,0.7725407684446592,0.957654271336494,0.7843749279982354,0.7305063410210292,0.8404555166825781,0.7380808156448413,0.8770878051400247,0.957654271336494,0.5033584107055643,0.4966415892944357,0.04234572866350605
advanced-only,0.7707073941460694,0.9500572018622486,0.77974387657539,0.7262980836953792,0.8365387398913003,0.7366344258917881,0.8673170311664996,0.9500572018622486,0.5025389655285097,0.4974610344714903,0.04994279813775143
baseline-advanced-and-fourier,0.7871570491931581,0.9108034341397124,0.7772854372751284,0.7502812252289253,0.825843709370309,0.7601154763006588,0.8798871078806166,0.9108034341397124,0.589759016318138,0.410240983681862,0.08919656586028764
baseline-advanced-and-fourier-min,0.7727170857947242,0.9569535916103238,0.7841425746830157,0.7305500230809227,0.8401677934399452,0.7386146826601335,0.8765159689990799,0.9569535916103238,0.5041464545515216,0.4958535454484783,0.043046408389676195
baseline-and-advanced,0.7708980972050351,0.9493107888102368,0.7795143369831101,0.7263618454479138,0.8362601264157252,0.7378054392623975,0.8681649119111103,0.9493107888102368,0.5034129020855911,0.49658709791440897,0.05068921118976329
baseline-and-fourier,0.7891115577492577,0.878976330477901,0.7667158675246043,0.7500161857442182,0.8117929894948235,0.755979356469471,0.8755230252287256,0.878976330477901,0.6210560410105355,0.37894395898946454,0.12102366952209896
baseline-and-fourier-min,0.7627544388651901,0.9906920024639874,0.7967156453029584,0.7199814376133162,0.8544418647504078,0.8304506084058204,0.8761242575971134,0.9906920024639874,0.4492708727626451,0.5507291272373549,0.009307997536012627
baseline-only,0.7785039592572591,0.9080403772936689,0.7757545396407853,0.7360600033793594,0.8228190588343648,0.7782979104403484,0.7978653602714632,0.9080403772936689,0.5640796294650499,0.43592037053495014,0.09195962270633112
fourier-min-only,0.7549305159648385,0.9940341363133053,0.7891947334234446,0.7060391446919271,0.8504972849829602,0.8226820995453139,0.8665743619725556,0.9940341363133053,0.4180441530705488,0.5819558469294511,0.0059658636866947315
fourier-only,0.78848430014742,0.8789275800045929,0.7662681899983077,0.7493135166288312,0.8115466756462227,0.7545848192725626,0.8750299380991295,0.8789275800045929,0.6196994532530694,0.38030054674693065,0.12107241999540705
