run_name,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
advanced-and-fourier,0.8566702789839995,0.8670509608668134,0.8475084833385839,0.8210243891912152,0.8605932340643638,0.8683526244590458,0.8993908090231062,0.8670509608668134,0.7749978175156169,0.225002182484383,0.1329490391331865
advanced-and-fourier-min,0.8801843515388542,0.922195517664527,0.885884099369401,0.8578947428560307,0.9002985326142174,0.9131595480148993,0.9326596076281832,0.922195517664527,0.7935939680475345,0.20640603195246562,0.07780448233547306
advanced-only,0.856823000587065,0.9030417932841621,0.8612861638171007,0.827907651794062,0.8789612023752477,0.8941094336637374,0.9177654973207484,0.9030417932841621,0.7527735103039621,0.24722648969603797,0.09695820671583781
baseline-advanced-and-fourier,0.8572693049709242,0.885286694645005,0.8535760006193431,0.822722098857085,0.870565232701496,0.8699132853767167,0.9018714431202862,0.885286694645005,0.7601575030691651,0.23984249693083493,0.11471330535499506
baseline-advanced-and-fourier-min,0.8829881532489168,0.9255116126099959,0.889034219704109,0.8612473852896801,0.9033209085810545,0.915442848925672,0.9348714756578185,0.9255116126099959,0.7969831579693644,0.20301684203063558,0.07448838739000413
baseline-and-advanced,0.8645177009631343,0.9138142179468258,0.8712514980666225,0.8392494480686084,0.8880873969949323,0.9027207100088442,0.924550352944765,0.9138142179468258,0.764684678190391,0.235315321809609,0.0861857820531743
baseline-and-fourier,0.8537292973920837,0.9048524496160993,0.8583903985645259,0.8204286377362149,0.8776726169835546,0.8682213256547505,0.897735092746203,0.9048524496160993,0.7360048258563304,0.2639951741436696,0.0951475503839007
baseline-and-fourier-min,0.8627920405921752,0.9123250396142044,0.8688381654339243,0.8358801839861248,0.8862929735870381,0.8883342833510206,0.9123746916572818,0.9123250396142044,0.7594353283580454,0.2405646716419546,0.08767496038579568
baseline-only,0.8359151899907462,0.8885897172171114,0.8392732326078863,0.8000283498330225,0.8609653717083551,0.8616203031945721,0.8910603962676089,0.8885897172171114,0.7114669824489337,0.2885330175510663,0.11141028278288852
fourier-min,0.8387902100238898,0.8878919182270147,0.8417625776430823,0.8052596073747549,0.8620771496948303,0.8557585901341338,0.8814968758582029,0.8878919182270147,0.7226272965224947,0.27737270347750526,0.11210808177298517
fourier-only,0.8517276241692529,0.8917197276097991,0.8518933262872219,0.8145478365065804,0.8701924939142014,0.863781116711984,0.8931199342929235,0.8917197276097991,0.7373759454033616,0.2626240545966384,0.10828027239020083
