run_name,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
advanced-and-fourier,0.8471463348028629,0.9510282807206094,0.8713655783112505,0.8300789450613113,0.8928395222260155,0.9031947189426016,0.9119285084404515,0.9510282807206094,0.709129609402013,0.29087039059798697,0.04897171927939056
advanced-and-fourier-min,0.837803835478617,0.9454757671076922,0.8627253569074252,0.8186141516771335,0.8852696018260179,0.8929725544680661,0.9012475075413309,0.9454757671076922,0.6917525362465748,0.3082474637534251,0.05452423289230778
advanced-only,0.8021185895302707,0.9350579230000056,0.8282757755525165,0.7654582242717232,0.8564702286214927,0.8651436181853364,0.8857450481147061,0.9350579230000056,0.5958585255434408,0.4041414744565593,0.06494207699999445
baseline-advanced-and-fourier,0.8480475384270106,0.9509448896599094,0.8721614382011137,0.8309993086358102,0.8934489891464229,0.9046749825990962,0.9140747110049255,0.9509448896599094,0.711053727611711,0.288946272388289,0.04905511034009056
baseline-advanced-and-fourier-min,0.8392546294861055,0.9458812695942451,0.864071821263316,0.8203281181808572,0.8863464901193226,0.8954635832608522,0.9048094203929521,0.9458812695942451,0.6947749667674691,0.3052250332325309,0.054118730405754954
baseline-and-advanced,0.8020378301901177,0.9367916602727498,0.8292675092805728,0.7668956085932578,0.8583751451005038,0.8669576800454327,0.8871820740097078,0.9367916602727498,0.5969995569137657,0.4030004430862343,0.06320833972725023
baseline-and-fourier,0.8324158642280772,0.9508412506724143,0.8580142258138577,0.8101186110428734,0.8842840562007312,0.8826245038901984,0.8965783434057896,0.9508412506724143,0.6693959714133325,0.33060402858666743,0.04915874932758572
baseline-and-fourier-min,0.8137813397606272,0.9420786758441516,0.8402783941207393,0.7867557338363013,0.8699054812690848,0.8602629758851871,0.8763377372558459,0.9420786758441516,0.6314327918284509,0.36856720817154903,0.057921324155848386
baseline-only,0.7682281278222693,0.9360509441236512,0.7977084013998846,0.7283950709024265,0.8378885451521934,0.7755871597255536,0.7867506458664255,0.9360509441236512,0.5207391976812018,0.47926080231879814,0.06394905587634887
fourier-min-only,0.8015065461914358,0.9425538494698334,0.8288926394930038,0.7730954517265611,0.8626328944324331,0.8365384517153226,0.8502094327465813,0.9425538494698334,0.6036370539832888,0.3963629460167112,0.05744615053016652
fourier-only,0.8241898746860082,0.9511009640112698,0.8501450991329786,0.8011038321885384,0.8791373541671381,0.8679744661145831,0.8802013265584818,0.9511009640112698,0.6511067003658072,0.3488932996341928,0.04889903598873018
