run_name,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
advanced-and-fourier,0.8551565653592414,0.94731483296664,0.8768933079306183,0.8347046987147159,0.8954528180436774,0.9063558065010547,0.9161258638632844,0.94731483296664,0.7220945644627917,0.27790543553720815,0.05268516703336002
advanced-and-fourier-min,0.8406167564473624,0.93886818561638,0.8633281876737853,0.8164688462863198,0.8837498192854004,0.8936909781251057,0.904492586937069,0.93886818561638,0.6940695069562597,0.30593049304374037,0.06113181438362003
advanced-only,0.7997910831736462,0.9262168418967649,0.8255405009787415,0.7579002619395704,0.8495723852012022,0.8548219192988206,0.8737162380897701,0.9262168418967649,0.5895836819823761,0.41041631801762385,0.07378315810323516
baseline-advanced-and-fourier,0.855915037239504,0.947957276169584,0.8775602621732314,0.8356915724397077,0.8962376530118376,0.9077033932390213,0.9177256797070866,0.947957276169584,0.7234258687098312,0.2765741312901688,0.052042723830415846
baseline-advanced-and-fourier-min,0.8420961587456015,0.9403341421031534,0.8649854222382649,0.8186627078209449,0.8853281958737813,0.8957150912723899,0.9065286403100861,0.9403341421031534,0.6969912735387364,0.30300872646126376,0.059665857896846655
baseline-and-advanced,0.8006438081473413,0.928308595827543,0.8277370251765348,0.7613195770959436,0.8528539971585725,0.8583715184529082,0.8782015170479623,0.928308595827543,0.5943305583643443,0.40566944163565566,0.07169140417245701
baseline-and-fourier,0.8444734196011151,0.949704405622465,0.8678301888714847,0.8223027927437406,0.8906490978511444,0.8894481074656438,0.9023355911369807,0.949704405622465,0.6949011798650161,0.3050988201349839,0.05029559437753488
baseline-and-fourier-min,0.8218456581649982,0.9407387714602551,0.8465830010241477,0.7951175905746283,0.8743354308683565,0.8609774934119644,0.875877048266448,0.9407387714602551,0.6494964096890014,0.35050359031099865,0.05926122853974481
baseline-only,0.7710306520800231,0.9203707212186234,0.7987479358445134,0.7239559024962214,0.8328522979434122,0.7820797572550778,0.7938858728991698,0.9203707212186234,0.5275410837738195,0.4724589162261805,0.07962927878137663
fourier-min,0.8083790353497032,0.93519782697871,0.8335485473088721,0.7781866618768828,0.8638445643336461,0.836045197690069,0.8482371445057107,0.93519782697871,0.6211754967750556,0.37882450322494443,0.06480217302129007
fourier-only,0.8331543498900792,0.9462642509610916,0.8572399457751958,0.8084228629313179,0.8824966448782006,0.8737136567153101,0.8844378642860057,0.9462642509610916,0.6705814749015445,0.3294185250984555,0.053735749038908445
