run_name,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
advanced-and-fourier,0.8779163861557661,0.9440849454248397,0.8870093671209391,0.8487616279286724,0.8985567052060783,0.9181548920301719,0.931091192307049,0.9440849454248397,0.753438310432505,0.24656168956749497,0.055915054575160265
advanced-and-fourier-min,0.8530441178230894,0.9537786461121651,0.8746335431946903,0.8349414520402378,0.8946978802979423,0.9101637871453697,0.923331717356859,0.9537786461121651,0.7161042579683108,0.2838957420316891,0.04622135388783498
advanced-only,0.8177108573463651,0.9224951465883819,0.8322497923289432,0.7763048788592009,0.8515397922127538,0.8728829725694689,0.8909441916497398,0.9224951465883819,0.6301146111300195,0.36988538886998046,0.07750485341161806
baseline-advanced-and-fourier,0.8720253581436517,0.955895711399884,0.8865598841239947,0.8508175441493391,0.9046126647711545,0.9181784296427165,0.9313019050164193,0.955895711399884,0.7457393768987942,0.25426062310120584,0.044104288600115886
baseline-advanced-and-fourier-min,0.8567771251075353,0.9496266722551168,0.8748108665697012,0.836946864561403,0.8931341122506263,0.9116948396298383,0.9243883511056639,0.9496266722551168,0.7242670568676893,0.27573294313231067,0.05037332774488328
baseline-and-advanced,0.8171284501450995,0.9320137929191065,0.8375565624135466,0.7822791470942456,0.8590205946613889,0.8776001944245392,0.8958759439984273,0.9320137929191065,0.6325445012693847,0.3674554987306153,0.06798620708089359
baseline-and-fourier,0.8718439608424263,0.9494777328774515,0.8849921063222829,0.8446877373301018,0.9006821408212523,0.9105375882777518,0.9275606414114904,0.9494777328774515,0.7398977417827521,0.26010225821724786,0.05052226712254848
baseline-and-fourier-min,0.8460270894410479,0.9539975823279072,0.8703675407235838,0.8255183203949105,0.8928226451937242,0.8937213551437101,0.9114717245649229,0.9539975823279072,0.6970390584619135,0.3029609415380865,0.04600241767209275
baseline-only,0.8047861625719109,0.9431550872396592,0.8314755198730982,0.7712508982795492,0.861379205032382,0.8523463086432599,0.8760735690477889,0.9431550872396592,0.5993467093194392,0.40065329068056077,0.056844912760340836
fourier-min-only,0.8241172888680387,0.9708706722820852,0.8534858908582721,0.8048219637300404,0.8859287380369131,0.8634752096843935,0.8760469284159752,0.9708706722820852,0.6387732551779958,0.3612267448220042,0.029129327717914842
fourier-only,0.861102271599138,0.9694311663716074,0.878652507350025,0.8374451116427313,0.904073540935222,0.8956709015302783,0.9106535585541766,0.9694311663716074,0.705459056913855,0.29454094308614504,0.030568833628392657
