run_name,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
advanced-and-fourier,0.8094080313674692,0.9007994003794095,0.8026364908484354,0.7752968824333264,0.834613791098574,0.7856768831927841,0.8876976640709291,0.9007994003794095,0.6497943644872434,0.35020563551275663,0.0992005996205904
advanced-and-fourier-min,0.7943417350087163,0.9933706312063396,0.8337070525009611,0.7797891617396566,0.8760405607515768,0.8107327296896648,0.9006203740369736,0.9933706312063396,0.5662076922729737,0.4337923077270262,0.0066293687936603935
advanced-only,0.7845158970104331,0.9848528837414904,0.8183709349824091,0.7644438510031765,0.8653212136144826,0.7927132618363069,0.8899221465663903,0.9848528837414904,0.5440348182648626,0.45596518173513745,0.015147116258509653
baseline-advanced-and-fourier,0.8111008734451162,0.8990790619524094,0.8026497072593293,0.7761727256979848,0.8334811065059639,0.7868847098702736,0.8883986060619092,0.8990790619524094,0.6532663894435602,0.3467336105564398,0.10092093804759059
baseline-advanced-and-fourier-min,0.7951640140007039,0.9930651233734668,0.8343450580643316,0.7811111790665657,0.8764238309993686,0.8115330747727272,0.9010919342202677,0.9930651233734668,0.5691572347596646,0.43084276524033543,0.006934876626533278
baseline-and-advanced,0.7851908358673418,0.9839248901728488,0.8183044870108318,0.7658454734777946,0.8651881119472589,0.7939179883114066,0.8902678200114174,0.9839248901728488,0.5477660567827405,0.4522339432172595,0.0160751098271512
baseline-and-fourier,0.7995052458358725,0.8638132932892085,0.7884729975920634,0.7643952631943255,0.8120740087417458,0.7796980193654128,0.8762580242040877,0.8638132932892085,0.6649772330994426,0.3350227669005574,0.1361867067107915
baseline-and-fourier-min,0.7951644965738072,0.9932383667576387,0.8335877475418935,0.7782634425339003,0.8763032971838842,0.8606055405852825,0.9016456421444821,0.9932383667576387,0.5632885183101621,0.4367114816898378,0.006761633242361289
baseline-only,0.787213861087346,0.9341037481899304,0.7936282406401653,0.755171544418354,0.8421704753949315,0.8017276655034453,0.8184770866491802,0.9341037481899304,0.5762393406467777,0.42376065935322227,0.06589625181006971
fourier-min-only,0.7703647569048341,0.9957424332967014,0.8087054490664484,0.7381776890174916,0.8613720891951834,0.8351218280451349,0.8795234897528159,0.9957424332967014,0.480612944738282,0.519387055261718,0.004257566703298613
fourier-only,0.7775977381207759,0.8652561771144418,0.7710591714227673,0.7356652990755426,0.7858930005729751,0.7493084607672915,0.8652273580915927,0.8652561771144418,0.6060744210366433,0.3939255789633566,0.1347438228855582
