run_name,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
advanced-and-fourier,0.14766015978377023,0.16048782449617616,0.13610800563481573,0.15117508945511127,0.11430920401881468,0.14503479067536676,0.07695869868071431,0.16048782449617616,0.2978057274836047,0.2978057274836045,0.1604878244961762
advanced-and-fourier-min,0.15100500897676403,0.10413769048473445,0.1247368295392597,0.1617013754033387,0.09792174965575508,0.163496259849035,0.07881995014522164,0.10413769048473445,0.3398922267380032,0.339892226738003,0.1041376904847345
advanced-only,0.15104443861983863,0.10340950596234248,0.12548220135896732,0.16218352554854362,0.0985562165635667,0.16152680726056096,0.09254640745312413,0.10340950596234248,0.33917347661774433,0.3391734766177443,0.10340950596234257
baseline-advanced-and-fourier,0.14751847764173057,0.16061551623417142,0.13582853171936976,0.15075461323556125,0.11411797878190834,0.14442036055182358,0.07665778098883508,0.16061551623417142,0.2976805057364886,0.29768050573648874,0.16061551623417147
baseline-advanced-and-fourier-min,0.15099237565257714,0.10499059637512653,0.1247212585450428,0.16138111433514363,0.09807165204723538,0.1623468578844162,0.07933901122538341,0.10499059637512653,0.339468891535386,0.339468891535386,0.10499059637512646
baseline-and-advanced,0.1510307740497485,0.10403882691463057,0.1253739987811233,0.16183491138583547,0.09861185398533175,0.15953819070747607,0.09059854645896342,0.10403882691463057,0.33870412149912027,0.33870412149912016,0.10403882691463069
baseline-and-fourier,0.14474747903486565,0.18411902883815134,0.14232221648444987,0.14882646416731823,0.12468669326556041,0.14611595722886023,0.08064787529919606,0.18411902883815134,0.26767451202495485,0.2676745120249549,0.18411902883815134
baseline-and-fourier-min,0.14258307469320683,0.011989735020388664,0.12293208787420526,0.17243009924984534,0.09246056810023037,0.13500714390193028,0.11260746407171635,0.011989735020388664,0.34085658869053215,0.34085658869053226,0.011989735020388564
baseline-only,0.1472715602357371,0.137361195352268,0.1198544185507309,0.14497856161171738,0.11748180828715248,0.13557328772607102,0.14290545845230632,0.137361195352268,0.2942541020698298,0.29425410206982994,0.13736119535226796
fourier-min-only,0.14435132252084892,0.0058686902173012085,0.12663560606957017,0.18117564648963233,0.09445369664575066,0.14271081404072555,0.12300408870084194,0.0058686902173012085,0.359631728884257,0.3596317288842569,0.0058686902173012015
fourier-only,0.14502911572950225,0.18395859069692816,0.1427209278479863,0.14942724022896725,0.12494176747622078,0.14725582041314322,0.08103802359737065,0.18395859069692816,0.26779930089668047,0.26779930089668047,0.18395859069692816
