run_name,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
advanced-and-fourier,0.13655049681134523,0.1666305368286791,0.14688852738983954,0.1641629652669531,0.15165887030905123,0.15398580093434358,0.13127886161074634,0.1666305368286791,0.20637062114788376,0.20637062114788382,0.1666305368286791
advanced-and-fourier-min,0.10353069071151955,0.08813280142747641,0.09759671056866524,0.1193381423373244,0.0949269842463818,0.09009176201017698,0.08044459515800721,0.08813280142747641,0.18725494481953164,0.18725494481953175,0.08813280142747633
advanced-only,0.09963276468766796,0.09030449209320898,0.09241475939948034,0.11039517930793287,0.09380552739288252,0.08697495632580045,0.0808153499860463,0.09030449209320898,0.17555926565309213,0.17555926565309216,0.09030449209320895
baseline-advanced-and-fourier,0.13497285971034287,0.1411701998753366,0.14011926560838645,0.164424855040895,0.13725537568589757,0.15360503916644871,0.12842075815136478,0.1411701998753366,0.23058245271333186,0.23058245271333186,0.1411701998753367
baseline-advanced-and-fourier-min,0.10306720767755995,0.08612672596278795,0.09714273703685614,0.1197264099716248,0.0936995169578419,0.09057686546614416,0.07986978302223012,0.08612672596278795,0.18935875346943712,0.18935875346943715,0.08612672596278788
baseline-and-advanced,0.09936650082205017,0.08570889233182144,0.09202753276735637,0.11111904541519696,0.09152606467787693,0.08682902041599135,0.07999076680894686,0.08570889233182144,0.177404029766879,0.17740402976687908,0.08570889233182148
baseline-and-fourier,0.1315118164311902,0.11765694276869385,0.12839923622518742,0.1583004983995525,0.12269501084367394,0.1455342255046874,0.1271856839089011,0.11765694276869385,0.2519671709882493,0.2519671709882493,0.11765694276869396
baseline-and-fourier-min,0.12088868416796904,0.10382627767702517,0.11572039576088493,0.14189289803162636,0.11138377543173464,0.12046643364384681,0.10606389618488833,0.10382627767702517,0.2231980505983154,0.2231980505983153,0.10382627767702517
baseline-only,0.1179788159925424,0.1064312092454881,0.11165609796538806,0.13455656938679852,0.11114153716089262,0.1207154242247349,0.10950842612641516,0.1064312092454881,0.21433800577578416,0.21433800577578416,0.10643120924548816
fourier-min,0.13432684440544507,0.11905252423893295,0.1274701504247857,0.15277389804180236,0.12581906832519268,0.1400529408896366,0.1298310056752304,0.11905252423893295,0.2359435184928975,0.23594351849289735,0.11905252423893302
fourier-only,0.13300224918729003,0.12709923421555555,0.13027937464837008,0.15871874443991513,0.1272389312653708,0.1474641136892842,0.13083364818904783,0.12709923421555555,0.24948608912238057,0.24948608912238043,0.12709923421555558
