run_name,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
advanced-and-fourier,0.12105735579978667,0.10604502874808854,0.10236949518193425,0.1396904011793317,0.10437386207832573,0.09560388712258105,0.10036577882994441,0.10604502874808854,0.25874470787402126,0.2587447078740213,0.10604502874808851
advanced-and-fourier-min,0.11967455927343959,0.10964303643818052,0.10125948806018711,0.13753032248806374,0.105428995848149,0.09695050166219495,0.1056144868175363,0.10964303643818052,0.25884003459896154,0.2588400345989615,0.10964303643818045
advanced-only,0.11782410960831792,0.16365185238333546,0.10346634757436594,0.1428739844712132,0.13086280539738962,0.1019723327866779,0.10753121738162125,0.16365185238333546,0.2866969046472305,0.2866969046472306,0.16365185238333557
baseline-advanced-and-fourier,0.12023248279422773,0.10324310031819167,0.10176605777097905,0.13892339619542474,0.10268029554933851,0.09441656662028598,0.09829598683907491,0.10324310031819167,0.25758137396998665,0.25758137396998665,0.10324310031819166
baseline-advanced-and-fourier-min,0.11920852982392179,0.10751299431958555,0.10110120872282413,0.13723910809030732,0.10436065440649206,0.09602769684329672,0.10413140684243995,0.10751299431958555,0.2576730282148451,0.2576730282148451,0.10751299431958565
baseline-and-advanced,0.1178560633028592,0.15350238686963355,0.10319942935124869,0.14171233588898902,0.1247452924483547,0.10048419568880158,0.10540398919621359,0.15350238686963355,0.2814601253759108,0.2814601253759108,0.15350238686963358
baseline-and-fourier,0.1267113286048974,0.09484624688384255,0.10653628292035591,0.14744521677359348,0.10262833462172685,0.11279038116098257,0.1125597207517789,0.09484624688384255,0.27765348394656436,0.2776534839465643,0.09484624688384236
baseline-and-fourier-min,0.12894767902365037,0.0890340768706925,0.10845579714899593,0.1465740972129344,0.10347514585726972,0.12037609236119874,0.12246344948596702,0.0890340768706925,0.27901845374058604,0.27901845374058615,0.08903407687069252
baseline-only,0.1316178508760869,0.1573253049726043,0.11473180946299717,0.15486964337448533,0.1341935985709088,0.13187872587603286,0.14696416604580467,0.1573253049726043,0.30039122045773464,0.30039122045773453,0.1573253049726043
fourier-min,0.13840764463100966,0.09953085155219225,0.11668375832272412,0.1543437104463636,0.11301275048858676,0.13954318745905117,0.14616426611299316,0.09953085155219225,0.2938700487714404,0.29387004877144035,0.09953085155219232
fourier-only,0.13705152160310793,0.10044077083119436,0.11512150175498989,0.15626813971853865,0.11115469256261086,0.12833691724249943,0.1340789154662424,0.10044077083119436,0.2943566153242962,0.29435661532429624,0.10044077083119429
