run_name,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
advanced-and-fourier,0.13421606371459377,0.18370866389181445,0.12183743411798525,0.16970582393372924,0.18212495644206642,0.1443711739991271,0.12043955130936483,0.18370866389181445,0.3286516979570935,0.32865169795709354,0.18370866389181445
advanced-and-fourier-min,0.13165250799020503,0.2067291284261273,0.12803671893695776,0.17209547359997315,0.197200694182773,0.1693825757147693,0.11796585015979427,0.2067291284261273,0.33929243845133983,0.33929243845133966,0.20672912842612737
advanced-only,0.1320028317996042,0.21765034914102246,0.12205298311023226,0.1835360496261763,0.19684473505503466,0.1788518699830934,0.1077515941631935,0.21765034914102246,0.3842801773036481,0.38428017730364794,0.2176503491410224
baseline-advanced-and-fourier,0.13025930559588195,0.1865295570031776,0.12222119326671134,0.17120456833743075,0.18292989536917578,0.13965231835810926,0.11000209819712499,0.1865295570031776,0.3312350514343207,0.3312350514343207,0.1865295570031776
baseline-advanced-and-fourier-min,0.12815017039723375,0.18364171141618982,0.11891915087233426,0.17015438865862484,0.17776322376702833,0.16396056450586252,0.1059561298257511,0.18364171141618982,0.33616602361891457,0.33616602361891457,0.1836417114161899
baseline-and-advanced,0.13992500692584103,0.2714064123467303,0.13375769094814383,0.18022616240102632,0.24533434308819893,0.15756701227414155,0.116091103189417,0.2714064123467303,0.37568837813375483,0.3756883781337549,0.2714064123467303
baseline-and-fourier,0.13111517397580302,0.1913875440600427,0.12236789599927723,0.1714454852733433,0.19029702204872193,0.14831832185257954,0.11836001022976889,0.1913875440600427,0.33058420192092175,0.3305842019209215,0.1913875440600427
baseline-and-fourier-min,0.1315928311607547,0.19130873322163405,0.11878416234096398,0.16485249883543115,0.1886279051815136,0.14450502795465564,0.12243412702489538,0.19130873322163405,0.3219081403871594,0.32190814038715954,0.19130873322163403
baseline-only,0.14110844157930338,0.22044438555323778,0.12604377612027723,0.1722727628456686,0.20794886895533593,0.155773675086425,0.13446448506908715,0.22044438555323778,0.36012280632957255,0.3601228063295727,0.2204443855532378
fourier-min-only,0.1479993002476721,0.17485062279057165,0.13634601572989843,0.17973589351596278,0.17785214948999795,0.18168549915063367,0.11853758273852584,0.17485062279057165,0.3668715864573044,0.3668715864573043,0.17485062279057165
fourier-only,0.13835243456885335,0.19492512401741163,0.12336839412689078,0.1712668281004684,0.19405296504368405,0.1517781640306795,0.1228362393835777,0.19492512401741163,0.33014256329290115,0.3301425632929012,0.1949251240174117
