run_name,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
advanced-and-fourier,0.14642020282102985,0.17285711956970573,0.12617300205298204,0.13732028244194,0.12814133282892265,0.13700373870159857,0.08649525517173211,0.17285711956970573,0.2829944951792485,0.2829944951792486,0.17285711956970576
advanced-and-fourier-min,0.137527641815845,0.00930884248405225,0.11079177033983204,0.14138536267298132,0.0877131043769896,0.11814711035256256,0.07042601695011007,0.00930884248405225,0.27895158204598686,0.27895158204598686,0.009308842484052181
advanced-only,0.1390121602678147,0.04448265862213831,0.11113307798199451,0.14028015603108684,0.08794045455963914,0.11952067940758677,0.07554053698702869,0.04448265862213831,0.2792306493722796,0.2792306493722797,0.044482658622138314
baseline-advanced-and-fourier,0.14630316626435327,0.17776430853270112,0.1274321467554543,0.1381306517463231,0.13248614010141685,0.13795141224414859,0.08546340961180718,0.17776430853270112,0.28363995330799496,0.2836399533079952,0.17776430853270117
baseline-advanced-and-fourier-min,0.13753528978719246,0.009233574411641299,0.11067593822964295,0.14123067655524144,0.08761111082571645,0.11844970467752217,0.07000793855931249,0.009233574411641299,0.27847686793397086,0.27847686793397075,0.00923357441164126
baseline-and-advanced,0.1391909997210075,0.047304346416109255,0.11109161192246896,0.13947235427054122,0.08793733898846054,0.11850050250830191,0.07525101967472676,0.047304346416109255,0.27736795900066297,0.277367959000663,0.04730434641610929
baseline-and-fourier,0.14544430574225098,0.216853807196614,0.1508058713799063,0.15204202954713444,0.16993064570051583,0.1512915226583838,0.10314716148478352,0.216853807196614,0.24287994506280874,0.24287994506280874,0.21685380719661398
baseline-and-fourier-min,0.140376745249728,0.004557582426403221,0.11446595580253822,0.148589796915678,0.09022993303025242,0.12412287283345806,0.09858310990226443,0.004557582426403221,0.2939968363841059,0.2939968363841059,0.004557582426403228
baseline-only,0.1452398558340563,0.09911610246874387,0.12006173299338406,0.14314927054603505,0.09738868264074174,0.12879126061593044,0.13726113131401202,0.09911610246874387,0.2836976600829896,0.2836976600829898,0.09911610246874389
fourier-min-only,0.14238106999200853,0.004212633361146026,0.11956674827140733,0.1588644664965825,0.09272800015363243,0.14419100744345179,0.12306023052214443,0.004212633361146026,0.31562909043941323,0.31562909043941334,0.004212633361146022
fourier-only,0.14579126212834675,0.2735089397322011,0.16321081959642258,0.16051884017635645,0.2237430846996405,0.15710152707924935,0.10938326184428372,0.2735089397322011,0.2821009325176976,0.2821009325176978,0.2735089397322011
