run_name,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
advanced-and-fourier,0.0953389561194133,0.0807999535654741,0.08530941757578886,0.11633371966695956,0.08181260358473465,0.06724979034325254,0.061838330669963484,0.0807999535654741,0.20749394411328587,0.20749394411328592,0.08079995356547415
advanced-and-fourier-min,0.08569975297960651,0.07470355418963813,0.07991167784430293,0.10127910953618671,0.0774062140831125,0.05988795712177315,0.05360871984634034,0.07470355418963813,0.16575426615246303,0.1657542661524629,0.07470355418963802
advanced-only,0.09095273650204397,0.08296808036010025,0.08208226687807195,0.10133186079502332,0.08413364698073396,0.06929112081100429,0.06785865677376257,0.08296808036010025,0.16902187296292273,0.16902187296292284,0.08296808036010023
baseline-advanced-and-fourier,0.09433392574443986,0.07907217651183682,0.08431041100746392,0.11511097884023061,0.08055308117857636,0.06597168784054797,0.060359327520704956,0.07907217651183682,0.2054918898972328,0.2054918898972329,0.07907217651183684
baseline-advanced-and-fourier-min,0.0838216372089794,0.07295933436346475,0.07836251765416712,0.10024758627611594,0.07538275319153843,0.05758986048923581,0.05097091209998519,0.07295933436346475,0.16526617501462046,0.16526617501462046,0.07295933436346469
baseline-and-advanced,0.08712345043444293,0.07891973537505992,0.07981446301376689,0.09995991918171392,0.07996850514426182,0.06426152308456708,0.060045045788451455,0.07891973537505992,0.16613435928820686,0.16613435928820702,0.07891973537505988
baseline-and-fourier,0.11601394635524595,0.09199127902151336,0.10196121753183672,0.14561061100997152,0.09535537007609113,0.09950766554475371,0.091818934124815,0.09199127902151336,0.274002855729982,0.27400285572998206,0.09199127902151333
baseline-and-fourier-min,0.11002586606353286,0.0848214662229759,0.09837140998837066,0.1303624971222065,0.09346398270464935,0.0930139571178118,0.08301143039317714,0.0848214662229759,0.2272679309964614,0.22726793099646148,0.08482146622297596
baseline-only,0.106550053133455,0.09456713089857989,0.09701261869554184,0.12335506287395931,0.09723128599430785,0.09892429179709267,0.09200372439756264,0.09456713089857989,0.21113882161788716,0.2111388216178871,0.09456713089857995
fourier-min-only,0.134117708329895,0.0851586088013612,0.11465108145778888,0.14992526546309617,0.10540155040791184,0.1332222309182038,0.12969777550330353,0.0851586088013612,0.2708505483357291,0.2708505483357292,0.0851586088013612
fourier-only,0.12324765990491747,0.09864509354168798,0.10867395867294978,0.15266152097799085,0.10248149882591441,0.11800493003228824,0.10974078290910041,0.09864509354168798,0.2851318838698669,0.28513188386986676,0.098645093541688
