,feature_set,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
0,baseline-only,0.6368451952072158,0.9054330917782752,0.6336935502218177,0.5660674948606117,0.7477518408271973,0.5936700202151007,0.6462153940696627,0.9054330917782752,0.22670189794294807,0.773298102057052,0.09456690822172478
1,advanced-only,0.6175570495674595,0.9723413135030542,0.6223410305994768,0.535238732669245,0.7553643008724358,0.5393421078406649,0.8025786333813626,0.9723413135030542,0.09813615183543585,0.9018638481645641,0.02765868649694578
2,fourier-only,0.6168759793259898,0.5003794058504382,0.5140598339210556,0.5174643932309356,0.5525541252500707,0.5821671475902082,0.7319417121119793,0.5003794058504382,0.5345493806114331,0.46545061938856686,0.4996205941495618
3,fourier-min-only,0.5996836163335912,0.9996016238570399,0.5996359913547947,0.5000991412841286,0.7496407790471041,0.6357059068989268,0.7067649471452231,0.9996016238570399,0.0005966587112171838,0.9994033412887828,0.00039837614296012446
4,baseline-and-advanced,0.6177811000458151,0.9720377888227036,0.6226140370833807,0.5356552167207052,0.7554402311729669,0.540965473806739,0.80286663508409,0.9720377888227036,0.09927264461870668,0.9007273553812933,0.027962211177296355
5,baseline-and-fourier,0.6255295114374471,0.5042303752323861,0.5217153907405301,0.5260667730236257,0.5583681700733147,0.5903135305125243,0.7352709520947526,0.5042303752323861,0.5479031708148653,0.45209682918513466,0.49576962476761394
6,baseline-and-fourier-min,0.6100633299758026,0.9996016238570399,0.6166420202479809,0.5213373501715021,0.7576984189751738,0.7412889024181131,0.7819377001208322,0.9996016238570399,0.04307307648596431,0.9569269235140356,0.00039837614296012446
7,advanced-and-fourier,0.6219830514534987,0.9899647152559092,0.6332044136048232,0.5444197937002355,0.7639717454159499,0.548260041223336,0.809001462799242,0.9899647152559092,0.09887487214456188,0.9011251278554381,0.010035284744090755
8,advanced-and-fourier-min,0.6197240356792691,0.983230261410631,0.6281651689227619,0.5398024247159985,0.7602605098717986,0.5426527747682371,0.8060122313234626,0.983230261410631,0.09637458802136606,0.9036254119786339,0.01676973858936905
9,baseline-advanced-and-fourier,0.6223539373412362,0.9899647152559092,0.6337731771129564,0.5451301016897798,0.7642514553509319,0.5494314311845384,0.8093143828732455,0.9899647152559092,0.10029548812365041,0.8997045118763496,0.010035284744090755
10,baseline-advanced-and-fourier-min,0.619911451477803,0.9827749743901051,0.6283471732453646,0.540143027597371,0.7602653282850519,0.5438005418751194,0.8062396559802772,0.9827749743901051,0.09751108080463688,0.9024889191953631,0.017225025609894903
