,feature_set,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
0,baseline-only,0.690155965161029,0.6463747770990629,0.613946081219429,0.6058757622283586,0.6675482935621645,0.6588000785808632,0.7322326350566644,0.6463747770990629,0.5653767473576543,0.43462325264234575,0.3536252229009371
1,advanced-only,0.688830448107347,0.631046780741359,0.6078261858719145,0.6020474271930456,0.6586737421539314,0.6542370117625257,0.7277782718019534,0.631046780741359,0.5730480736447323,0.42695192635526763,0.36895321925864094
2,fourier-only,0.7846662799939851,0.6929278749478317,0.701842793766352,0.7040613917300813,0.7359492268171057,0.7995414606059336,0.8440445824764611,0.6929278749478317,0.7151949085123309,0.284805091487669,0.3070721250521683
3,fourier-min-only,0.7293922677018775,0.6094965284364685,0.6302468433625299,0.6354108395108811,0.6640761448074161,0.7051532264957676,0.754895835434084,0.6094965284364685,0.6613251505852937,0.3386748494147062,0.3905034715635315
4,baseline-and-advanced,0.7009748220800192,0.6670523959479455,0.6297235809350472,0.6204338011106929,0.6835930285680959,0.6753297941373348,0.7481349239608948,0.6670523959479455,0.5738152062734402,0.4261847937265598,0.3329476040520545
5,baseline-and-fourier,0.7912152147136803,0.7189740865804151,0.7177226709134342,0.7174112392215634,0.7533667942155742,0.8115174505799949,0.8516925316581534,0.7189740865804151,0.7158483918627117,0.28415160813728835,0.28102591341958494
6,baseline-and-fourier-min,0.7840462727155005,0.6891527867359715,0.6997838698669093,0.7024295585003871,0.7335433325256442,0.7914089194861589,0.8332156498528356,0.6891527867359715,0.7157063302648028,0.2842936697351972,0.31084721326402853
7,advanced-and-fourier,0.7891186390966417,0.7145540084228099,0.7143328404049596,0.7142777997563532,0.7499875556263501,0.8068860241972107,0.848937904928756,0.7145540084228099,0.7140015910898966,0.2859984089101034,0.28544599157719014
8,advanced-and-fourier-min,0.7661675624946677,0.6814318776795538,0.6842680013650324,0.684973809052301,0.7213197052149641,0.7688685735180416,0.815459354016717,0.6814318776795538,0.6885157404250483,0.3114842595749517,0.3185681223204462
9,baseline-advanced-and-fourier,0.7893734999586195,0.7237546002959365,0.7185530656353089,0.7172585934767557,0.7551412228094134,0.8069982753354423,0.8493395068451782,0.7237546002959365,0.7107625866575747,0.28923741334242525,0.2762453997040634
10,baseline-advanced-and-fourier-min,0.7698593969364876,0.6969685472549987,0.6933568422250028,0.6924580206442058,0.7316028953473322,0.7764863646220097,0.8239651653864355,0.6969685472549987,0.6879474940334129,0.3120525059665871,0.3030314527450013
