,feature_set,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
0,baseline-only,0.6421635110942332,0.44910270516371364,0.5195995904902742,0.5371436926204975,0.5285554811341818,0.5935069153690773,0.6342116555844179,0.44910270516371364,0.6251846800772816,0.3748153199227185,0.5508972948362864
1,advanced-only,0.6191172967638752,0.6902910042872861,0.5596405414628598,0.5271264090648841,0.6527698048220436,0.5194829410156536,0.6178090489120509,0.6902910042872861,0.3639618138424821,0.636038186157518,0.3097089957127139
2,fourier-only,0.7210369045126663,0.7186705619000645,0.6645774087134569,0.651115596895026,0.7198517885136098,0.7524168446961461,0.821484689059104,0.7186705619000645,0.5835606318899875,0.4164393681100125,0.2813294380999355
3,fourier-min-only,0.6732373164083161,0.6278218310126342,0.5941076100557389,0.585717370785326,0.6497369247683368,0.6672927111134304,0.7487391982780723,0.6278218310126342,0.543612910558018,0.45638708944198203,0.3721781689873658
4,baseline-and-advanced,0.6223377610419222,0.6834806692719202,0.5614947104993744,0.5311368569680432,0.6514777545724955,0.5290569715807771,0.6230407492840201,0.6834806692719202,0.37879304466416636,0.6212069553358336,0.3165193307280798
5,baseline-and-fourier,0.7300038714672861,0.7154076715862958,0.6706859287908088,0.6595563190298794,0.7226320731216586,0.7661849058580423,0.8320541907790873,0.7154076715862958,0.603704966473463,0.3962950335265371,0.28459232841370413
6,baseline-and-fourier-min,0.6944902184476275,0.6236104260727701,0.6098054828802184,0.6063699363003923,0.6571445706061091,0.694287546248092,0.7626084980788737,0.6236104260727701,0.5891294465280146,0.4108705534719855,0.37638957392722994
7,advanced-and-fourier,0.6935329429528966,0.7144781272527222,0.6394721874644523,0.6208059462266566,0.7038497477107083,0.6568130867749817,0.728553145432666,0.7144781272527222,0.527133765200591,0.47286623479940904,0.28552187274727775
8,advanced-and-fourier-min,0.683281351144589,0.660792199415715,0.6129336821749517,0.601023443724223,0.6718486300907487,0.6364349243098264,0.6985997771102094,0.660792199415715,0.541254688032731,0.45874531196726903,0.339207800584285
9,baseline-advanced-and-fourier,0.6942646977490183,0.7144022460826346,0.6400978273233989,0.621606169069275,0.7041895341118393,0.6571858883807823,0.7283662857208621,0.7144022460826346,0.5288100920559154,0.47118990794408455,0.2855977539173654
10,baseline-advanced-and-fourier-min,0.6828247602441151,0.6685889896422202,0.6150494824252076,0.6017254528845264,0.6756318952544355,0.6320037963179506,0.6946546565793369,0.6685889896422202,0.5348619161268326,0.4651380838731674,0.3314110103577797
