,feature_set,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
0,baseline-only,0.6400277414708314,0.45517319877072504,0.5197929700830395,0.535874473007365,0.5320000443444232,0.5857796570102983,0.6257922155839434,0.45517319877072504,0.616575747244005,0.383424252755995,0.544826801229275
1,advanced-only,0.5875747411404404,0.5350191599954471,0.4959959049027414,0.4862844407773576,0.5600667242560544,0.5405187305864151,0.6230492351982282,0.5350191599954471,0.4375497215592681,0.5624502784407319,0.46498084000455286
2,fourier-only,0.7267289573478244,0.7052775353795956,0.6642475258787396,0.654036653813221,0.7158425754775107,0.7691128623874024,0.8353479592961301,0.7052775353795956,0.6027957722468462,0.3972042277531538,0.29472246462040447
3,fourier-min-only,0.6872991146254412,0.6612095458511971,0.6164600159253782,0.605323490961739,0.6740019530683478,0.6730444945354455,0.7462454717274283,0.6612095458511971,0.5494374360722809,0.45056256392771904,0.338790454148803
4,baseline-and-advanced,0.6121228481840646,0.5592062829608833,0.5232055511318394,0.5142462827464946,0.5844692726353461,0.5692139525516224,0.6464807952620182,0.5592062829608833,0.4692862825321059,0.5307137174678941,0.44079371703911674
5,baseline-and-fourier,0.7447227694905714,0.7027355161816595,0.6773063360254806,0.6709779410661678,0.7231201686577654,0.7906064738487242,0.8466980821781325,0.7027355161816595,0.6392203659506762,0.3607796340493238,0.2972644838183405
6,baseline-and-fourier-min,0.7082090788601723,0.6487460636643017,0.6290979410761005,0.6242082403785766,0.6771747094116948,0.703297233248269,0.7555820957633479,0.6487460636643017,0.5996704170928515,0.40032958290714854,0.3512539363356983
7,advanced-and-fourier,0.703484313186232,0.6308191372310961,0.6191900807644182,0.6162960329864993,0.6651730794235019,0.7191711715128617,0.7743554170308706,0.6308191372310961,0.6017729287419025,0.39822707125809753,0.3691808627689039
8,advanced-and-fourier-min,0.6995101247496083,0.6690822172477899,0.6292230690478899,0.6193035816321913,0.6839579192320744,0.6702263453635947,0.7205141240963666,0.6690822172477899,0.5695249460165928,0.4304750539834072,0.33091778275221007
9,baseline-advanced-and-fourier,0.7021771611526147,0.624065713093296,0.615857126606757,0.613814308984425,0.66082118034631,0.7192990830059411,0.7744283772349686,0.624065713093296,0.6035629048755541,0.39643709512444597,0.3759342869067041
10,baseline-advanced-and-fourier-min,0.7025385032118258,0.6888113214705771,0.6385166647707883,0.6260001601102175,0.6956071955401445,0.6739915765260845,0.7240531597661598,0.6888113214705771,0.563188998749858,0.43681100125014205,0.31118867852942295
