,feature_set,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
0,baseline-only,0.6940727175971576,0.8412376218841294,0.6824593334091684,0.6429452116694201,0.7606020325028943,0.6560633190570402,0.7138929639878064,0.8412376218841294,0.44465280145471076,0.5553471985452892,0.15876237811587054
1,advanced-only,0.6898659669526984,0.922696057973214,0.7049141167102718,0.6507161389991084,0.7894724027950234,0.6405446353088572,0.7055248853640452,0.922696057973214,0.37873622002500285,0.6212637799749972,0.07730394202678606
2,fourier-only,0.865898138524048,0.8691998330614258,0.8408485951541349,0.8337930066545907,0.8675458444177261,0.9212245912507788,0.941043883219963,0.8691998330614258,0.7983861802477554,0.20161381975224457,0.13080016693857419
3,fourier-min-only,0.7438066937754144,0.9022081420495504,0.7550221817768172,0.7183929674902827,0.8153856704442195,0.7421210332000472,0.7852844624180635,0.9022081420495504,0.5345777929310149,0.4654222070689851,0.09779185795044959
4,baseline-and-advanced,0.6928724476934711,0.8342755245285882,0.6788761233079286,0.6402028833007756,0.7570275248308747,0.6520579505957701,0.7164480873013258,0.8342755245285882,0.4461302420729628,0.5538697579270372,0.16572447547141178
5,baseline-and-fourier,0.8513446161180576,0.7452858823083052,0.7692298942099874,0.7751886849886792,0.794792688724573,0.8976018455371646,0.9204201725578343,0.7452858823083052,0.8050914876690533,0.1949085123309467,0.25471411769169483
6,baseline-and-fourier-min,0.8014099802389133,0.8539666881663315,0.7855420316232511,0.7685136316158399,0.8268540202966432,0.8338696769060583,0.8644873587519327,0.8539666881663315,0.6830605750653483,0.31693942493465166,0.14603331183366847
7,advanced-and-fourier,0.7975442946846378,0.7565732063588421,0.7388692981458309,0.734463441456498,0.7765186915887851,0.8471077122666749,0.8825701334156931,0.7565732063588421,0.7123536765541539,0.2876463234458461,0.24342679364115793
8,advanced-and-fourier-min,0.7693372469230513,0.875118564328262,0.7677852348993288,0.741073886096396,0.8188256594128297,0.7782533698097629,0.8191858598482005,0.875118564328262,0.6070292078645301,0.3929707921354699,0.12488143567173805
9,baseline-advanced-and-fourier,0.7943475938425678,0.9309481352202451,0.8140712091912183,0.7849848074669245,0.857240180622396,0.842369813796586,0.8836880634790063,0.9309481352202451,0.6390214797136038,0.36097852028639615,0.0690518647797549
10,baseline-advanced-and-fourier-min,0.7787866559052999,0.8786280684448154,0.777567967239222,0.7524177960135203,0.8257001764926105,0.7969272827724394,0.8328223542675101,0.8786280684448154,0.6262075235822252,0.37379247641777474,0.12137193155518458
