,feature_set,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
0,baseline-only,0.6506953665525194,0.8831429980650302,0.6456489591627801,0.5865453596984999,0.7493058852879873,0.6320016646124464,0.6637593272724848,0.8831429980650302,0.28994772133196955,0.7100522786680304,0.11685700193496984
1,advanced-only,0.6458069325382035,0.9860947755814394,0.6673643499033102,0.5880439783123699,0.7804720578961593,0.5981345631623705,0.8209984802754314,0.9860947755814394,0.18999318104330037,0.8100068189566996,0.013905224418560534
2,fourier-only,0.6303143449429621,0.9863413893842243,0.6449209418723695,0.5599538518690641,0.7691249454523938,0.5707403148679623,0.8148782524281075,0.9863413893842243,0.13356631435390384,0.8664336856460961,0.013658610615775696
3,fourier-min-only,0.6208385585500319,0.9955040406723071,0.6327380275281538,0.5424588051980697,0.7647478869134363,0.6445271850889077,0.7205224162863971,0.9955040406723071,0.08941356972383226,0.9105864302761677,0.004495959327692833
4,baseline-and-advanced,0.6482076143590769,0.9841408354516826,0.6702195427141394,0.5920959888134649,0.7816071172983194,0.6037937071367923,0.8227169797686064,0.9841408354516826,0.2000511421752472,0.7999488578247528,0.015859164548317334
5,baseline-and-fourier,0.6543912551828119,0.9880297454186744,0.6799226481628938,0.6032460353414545,0.7873231345991052,0.6114449668256606,0.8268519065677754,0.9880297454186744,0.21846232526423456,0.7815376747357654,0.011970254581325643
6,baseline-and-fourier-min,0.6839630139889784,0.9794551731987707,0.7163007621431009,0.6508112324682341,0.8054632533033805,0.7381460357480687,0.7807032639917819,0.9794551731987707,0.3221672917376975,0.6778327082623026,0.020544826801229276
7,advanced-and-fourier,0.6654888704636776,0.9896991311606025,0.6955181435559095,0.6223072312241245,0.7958416279584163,0.6266510013315512,0.8317690696083042,0.9896991311606025,0.2549153312876463,0.7450846687123537,0.010300868839397504
8,advanced-and-fourier-min,0.6598202498222809,0.9860378647038738,0.6867933113411443,0.6123222622757919,0.7906000456308464,0.6211763754679118,0.8288542500015594,0.9860378647038738,0.23860665984770996,0.76139334015229,0.013962135296126266
9,baseline-advanced-and-fourier,0.6648315855356436,0.9873847554729294,0.6939483562734615,0.6209227448236336,0.794623023900216,0.6252276909413842,0.8309577327641859,0.9873847554729294,0.254460734174338,0.745539265825662,0.012615244527070607
10,baseline-advanced-and-fourier-min,0.6622078269851188,0.985146260955344,0.6897622568536003,0.6162519576171197,0.7920234872459678,0.6301726343403826,0.8314300019789653,0.985146260955344,0.24735765427889533,0.7526423457211047,0.014853739044656068
