,feature_set,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
0,baseline-only,0.7145548083934213,0.6692529498804871,0.6413604823114549,0.6344190650072966,0.6911623533099542,0.6995969657436445,0.748022156452382,0.6692529498804871,0.5995851801341061,0.40041481986589383,0.33074705011951283
1,advanced-only,0.6939244244335478,0.722161095724096,0.6423956318962576,0.6225449188132925,0.7077612412036477,0.6680386156204489,0.7348503538426194,0.722161095724096,0.522928741902489,0.4770712580975111,0.2778389042759039
2,fourier-only,0.8540623207799656,0.8475167887088819,0.8217267660106927,0.8153085705108223,0.8507769652650822,0.9118753877036017,0.9347633350233195,0.8475167887088819,0.7831003523127628,0.21689964768723718,0.1524832112911181
3,fourier-min-only,0.7430698944835548,0.867018249421406,0.7404959617790923,0.7090091815353422,0.8002731546738341,0.7373605796148552,0.7865272643169454,0.867018249421406,0.5510001136492784,0.4489998863507217,0.13298175057859393
4,baseline-and-advanced,0.717603248563783,0.7274727776302311,0.6649186668183369,0.6493512314108651,0.7225043098169622,0.7128842669474726,0.7696680418156638,0.7274727776302311,0.5712296851914991,0.428770314808501,0.27252722236976895
5,baseline-and-fourier,0.8656027686983272,0.8540425693364192,0.8329655329314071,0.8277202277299212,0.8597838126885909,0.9214986285959652,0.9417537568014758,0.8540425693364192,0.8013978861234231,0.1986021138765769,0.14595743066358083
6,baseline-and-fourier-min,0.8266955006908152,0.7832074970596047,0.7715504493231714,0.7686494355396898,0.80436413228776,0.8641161867807887,0.8922564216015259,0.7832074970596047,0.754091374019775,0.24590862598022503,0.21679250294039534
7,advanced-and-fourier,0.8560807427096575,0.8431536214288424,0.8209532476396314,0.815428384756926,0.849568009786681,0.9130398726637385,0.93540468489986,0.8431536214288424,0.7877031480850096,0.21229685191499034,0.15684637857115757
8,advanced-and-fourier-min,0.8123381694135055,0.7498956633911295,0.7461494710499375,0.7452171804851999,0.7798690025252525,0.8476088732662562,0.8810481569774249,0.7498956633911295,0.7405386975792704,0.2594613024207296,0.2501043366088705
9,baseline-advanced-and-fourier,0.8610312961093423,0.841332473346739,0.8234330565350927,0.8189785448902123,0.8510679127247607,0.917062058691416,0.938534752714662,0.841332473346739,0.7966246164336857,0.20337538356631435,0.158667526653261
10,baseline-advanced-and-fourier-min,0.8270000615877318,0.7641992639526501,0.7627459902172676,0.7623843234185343,0.7943603648015777,0.86358933994261,0.8931783609622689,0.7641992639526501,0.7605693828844187,0.2394306171155813,0.23580073604734986
