,feature_set,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
0,baseline-only,0.6852364407278724,0.8435551689140206,0.673640713353632,0.6311620994635349,0.7561982128350934,0.6719076124340739,0.7086712887504225,0.8435551689140206,0.41876903001304916,0.5812309699869509,0.15644483108597942
1,advanced-only,0.6359273225917038,0.9413513121647092,0.6414528055676381,0.5664781789183703,0.759068190453921,0.5745934887438058,0.8048058299584145,0.9413513121647092,0.19160504567203132,0.8083949543279687,0.05864868783529071
2,fourier-only,0.6311887983893109,0.5,0.5247063940843845,0.5308829926054807,0.5579871364427005,0.6336740777410582,0.7545762571959526,0.5,0.5617659852109613,0.43823401478903873,0.5
3,fourier-min-only,0.6,1.0,0.6,0.5,0.7499999999999999,0.6838906672675672,0.743964873085012,1.0,0.0,1.0,0.0
4,baseline-and-advanced,0.6362477320649242,0.9406263592866464,0.6417137886037407,0.5669856459330144,0.7590604615789628,0.575575013135238,0.8048724037312082,0.9406263592866464,0.19334493257938234,0.8066550674206177,0.05937364071335363
5,baseline-and-fourier,0.643982940849249,0.5035522691025084,0.5351022183558068,0.5429897056691315,0.5651749389747763,0.6456910861635664,0.759971032852653,0.5035522691025084,0.5824271422357546,0.4175728577642453,0.49644773089749167
6,baseline-and-fourier-min,0.6135848049463992,1.0,0.6221400608960418,0.5276750761200522,0.7605237767057202,0.8335145045443729,0.8504028100502885,1.0,0.055350152240104394,0.9446498477598956,0.0
7,advanced-and-fourier,0.644480365123134,0.9827461215021024,0.6643758155719878,0.5847832390894592,0.7784541173768234,0.5885524816376279,0.8172500047080159,0.9827461215021024,0.186820356676816,0.813179643323184,0.017253878497897637
8,advanced-and-fourier-min,0.6417006966130194,0.9683195592286501,0.656589821661592,0.5786573872698274,0.7718801467826286,0.5834227226404708,0.8131720978589689,0.9683195592286501,0.18899521531100477,0.8110047846889952,0.03168044077134986
9,baseline-advanced-and-fourier,0.6450323562999619,0.9827461215021024,0.6651587646802958,0.5857619254748442,0.7788566503878196,0.5901036411428385,0.817708752446265,0.9827461215021024,0.18877772944758592,0.8112222705524141,0.017253878497897637
10,baseline-advanced-and-fourier-min,0.6420667757144232,0.967522111062781,0.6568943018703784,0.5792373495722778,0.7718912666281087,0.5850124514361983,0.8135161401207357,0.967522111062781,0.19095258808177468,0.8090474119182253,0.032477888937219083
