,feature_set,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
0,baseline-only,0.7181710389802876,0.7025518341307815,0.6561113527620704,0.6445012324198927,0.7102755790090883,0.7033578436148933,0.7690824989616035,0.7025518341307815,0.5864506307090039,0.41354936929099606,0.2974481658692185
1,advanced-only,0.6805320790769457,0.6713063650862694,0.6137016093953893,0.5993004204726693,0.6758877413233094,0.645189425236294,0.7274636773629116,0.6713063650862694,0.5272944758590692,0.47270552414093087,0.3286936349137306
2,fourier-only,0.8634412153236459,0.758155719878208,0.7829491083079599,0.789147455415398,0.8073805296070408,0.889920426567445,0.9161595879417495,0.758155719878208,0.820139190952588,0.17986080904741192,0.24184428012179207
3,fourier-min-only,0.7859863584019843,0.6432506887052342,0.6808612440191387,0.6902638828476149,0.7074911294502252,0.77942018180519,0.8074082561280123,0.6432506887052342,0.7372770769899957,0.26272292301000433,0.35674931129476584
4,baseline-and-advanced,0.6888323476825746,0.7261852979556329,0.6388864723792953,0.6170617659852109,0.7070158102766798,0.6667680859661043,0.7518404132186943,0.7261852979556329,0.507938234014789,0.49206176598521095,0.27381470204436714
5,baseline-and-fourier,0.9069552814833459,0.7836740611860229,0.8219660722053067,0.8315390749601276,0.8408198187687161,0.9211725964595685,0.9378054444046875,0.7836740611860229,0.8794040887342323,0.12059591126576773,0.2163259388139771
6,baseline-and-fourier-min,0.8732382958043091,0.7815716978396404,0.8008699434536755,0.8056945048571843,0.8248661055853099,0.8930468055624665,0.9125003991726779,0.7815716978396404,0.8298173118747282,0.17018268812527185,0.21842830216035958
7,advanced-and-fourier,0.8709117938553023,0.7644628099173554,0.790691605045672,0.7972488038277512,0.81422283993514,0.8894462824738053,0.9121187734559995,0.7644628099173554,0.830034797738147,0.169965202261853,0.23553719008264462
8,advanced-and-fourier-min,0.8568828590337525,0.7509061910975786,0.7752936059156155,0.7813904596201247,0.8004018236612317,0.8716103565273478,0.894447566536734,0.7509061910975786,0.8118747281426707,0.18812527185732927,0.24909380890242133
9,baseline-advanced-and-fourier,0.8741463414634146,0.779469334493258,0.8003479773814702,0.8055676381035233,0.8240974936767071,0.8934248082595815,0.9163930898487083,0.779469334493258,0.8316659417137886,0.1683340582862114,0.22053066550674205
10,baseline-advanced-and-fourier-min,0.8550851504058571,0.7789618674786138,0.7881687690300131,0.7904704944178629,0.8152503793626708,0.8694526835964451,0.8938010111703594,0.7789618674786138,0.8019791213571118,0.1980208786428882,0.2210381325213861
