,feature_set,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
0,baseline-only,0.6556562085726911,0.43025953313034654,0.5225750326228795,0.5456539074960127,0.5195657883218069,0.6549870419797225,0.698693357183973,0.43025953313034654,0.661048281861679,0.33895171813832103,0.5697404668696535
1,advanced-only,0.6329045116868998,0.75967812092214,0.5914310569812962,0.5493692909960852,0.690520905406741,0.5431534270846559,0.638706254085149,0.75967812092214,0.33906046107003046,0.6609395389299696,0.24032187907785993
2,fourier-only,0.7480374396135265,0.7184283021603596,0.6858634188777729,0.6777221980571263,0.7329339545891574,0.789877642837948,0.857681679410357,0.7184283021603596,0.637016093953893,0.36298390604610703,0.2815716978396404
3,fourier-min-only,0.700117508813161,0.6478903871248369,0.6222270552414093,0.6158112222705525,0.6729922060318536,0.6954162591762985,0.7848529338869608,0.6478903871248369,0.583732057416268,0.41626794258373206,0.3521096128751631
4,baseline-and-advanced,0.6362638702597244,0.7565608235464695,0.5944323618964767,0.5539002464839785,0.6912173797854021,0.5492330430557683,0.6428504782581294,0.7565608235464695,0.3512396694214876,0.6487603305785123,0.24343917645353053
5,baseline-and-fourier,0.7910947973188637,0.7187182833115847,0.7173553719008264,0.7170146440481369,0.7531717693534907,0.8308422656420331,0.8905546222253581,0.7187182833115847,0.715311004784689,0.284688995215311,0.28128171668841523
6,baseline-and-fourier-min,0.7514392143582798,0.643468174568653,0.6583732057416268,0.6620994635348703,0.6932750136686714,0.7604301294578532,0.8241802466584577,0.643468174568653,0.6807307525010874,0.31926924749891256,0.356531825431347
7,advanced-and-fourier,0.7223625810856947,0.7669276497027693,0.6832970856894302,0.6623894446860954,0.7439783396040649,0.7067783582866592,0.770648692683399,0.7669276497027693,0.5578512396694215,0.44214876033057854,0.23307235029723067
8,advanced-and-fourier-min,0.7236384293119363,0.7387994780339278,0.6739886907351023,0.6577859939103958,0.7311403666104673,0.6930413526491809,0.7317655915255012,0.7387994780339278,0.5767725097868639,0.42322749021313616,0.2612005219660722
9,baseline-advanced-and-fourier,0.7240295243302352,0.7680150790198637,0.6851674641148325,0.6644555603885747,0.7453739534229228,0.7055239911471869,0.7687228090806785,0.7680150790198637,0.5608960417572858,0.4391039582427142,0.2319849209801363
10,baseline-advanced-and-fourier-min,0.7235509285312324,0.7456865303755256,0.6764680295780774,0.6591634043787153,0.7344519814352016,0.6910071014479318,0.7295387543140646,0.7456865303755256,0.5726402783819051,0.4273597216180948,0.25431346962447443
