,feature_set,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
0,baseline-only,0.6546319316830613,0.4390314629549079,0.5244454110482819,0.5457988980716253,0.5255803862009113,0.646527797354764,0.6795817903264465,0.4390314629549079,0.6525663331883428,0.3474336668116572,0.5609685370450921
1,advanced-only,0.6029208107767846,0.6943598666086704,0.5422357546759461,0.504204726692765,0.6454177897574124,0.5171868700217827,0.5997019089365763,0.6943598666086704,0.3140495867768595,0.6859504132231405,0.30564013339132956
2,fourier-only,0.758360882601676,0.7150935189212702,0.6923444976076555,0.6866572422792518,0.7360919368680273,0.8114290271763044,0.8719166704604335,0.7150935189212702,0.6582209656372335,0.3417790343627664,0.2849064810787299
3,fourier-min-only,0.7169767621400448,0.6732637378570393,0.6444976076555023,0.6373060751051182,0.6944330205256665,0.7015768765700086,0.7772838695366788,0.6732637378570393,0.601348412353197,0.398651587646803,0.3267362621429607
4,baseline-and-advanced,0.621731146710568,0.7118312309699869,0.567246628969117,0.5311004784688995,0.6637374522594381,0.5508391258613426,0.6399071565723876,0.7118312309699869,0.3503697259678121,0.6496302740321879,0.28816876903001304
5,baseline-and-fourier,0.8335884353741496,0.7106713063650862,0.741278816876903,0.7489306945048572,0.7672380057916568,0.8688047746992139,0.9123429533644583,0.7106713063650862,0.7871900826446281,0.2128099173553719,0.28932869363491376
6,baseline-and-fourier-min,0.7825150732127476,0.6586196897201682,0.6853414528055677,0.6920218935769175,0.7152416942213823,0.7791725500108697,0.8258231818910168,0.6586196897201682,0.7254240974336668,0.2745759025663332,0.3413803102798318
7,advanced-and-fourier,0.733381660021747,0.7334348267362621,0.6800782949108308,0.6667391619544729,0.7334082424154554,0.7564456635677532,0.8101961711006,0.7334348267362621,0.6000434971726838,0.3999565028273162,0.26656517326373785
8,advanced-and-fourier-min,0.7497646803272754,0.7506887052341598,0.7000869943453676,0.6874365666231694,0.7502264082593733,0.7330817787839876,0.7628059891856636,0.7506887052341598,0.6241844280121792,0.3758155719878208,0.2493112947658402
9,baseline-advanced-and-fourier,0.7314148681055156,0.7296650717703349,0.6770334928229665,0.6638755980861244,0.7305389221556886,0.7555669459453818,0.8096337890231426,0.7296650717703349,0.5980861244019139,0.4019138755980861,0.2703349282296651
10,baseline-advanced-and-fourier-min,0.7479306685532366,0.7664201826881253,0.7048716833405828,0.6894845585036973,0.7570625514697984,0.7298876975780395,0.7617289653241052,0.7664201826881253,0.6125489343192693,0.38745106568073073,0.23357981731187472
