,feature_set,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
0,baseline-only,0.7476673427991887,0.8016528925619835,0.7186602870813397,0.6979121357111788,0.7737195633921075,0.7428273614748753,0.7913916618663632,0.8016528925619835,0.5941713788603741,0.4058286211396259,0.19834710743801653
1,advanced-only,0.7154675643293205,0.9090909090909091,0.7285341452805567,0.6833949543279687,0.8007407170907697,0.6600249284144508,0.7316445223925754,0.9090909090909091,0.4576989995650283,0.5423010004349718,0.09090909090909091
2,fourier-only,0.9288100363744339,0.9070610410323329,0.902522836015659,0.9013882847614905,0.9178067119017055,0.9691634718601926,0.977066583914163,0.9070610410323329,0.8957155284906481,0.1042844715093519,0.0929389589676671
3,fourier-min-only,0.8194506978838361,0.9235899666521676,0.8320574162679426,0.8091742786718863,0.8684093929995569,0.8382473644541508,0.8609756055293197,0.9235899666521676,0.6947585906916051,0.30524140930839494,0.07641003334783239
4,baseline-and-advanced,0.7070707070707071,0.8373205741626795,0.6942583732057416,0.6584928229665072,0.7667031763417307,0.6733372934554382,0.7493029709094311,0.8373205741626795,0.4796650717703349,0.5203349282296651,0.16267942583732056
5,baseline-and-fourier,0.9508210597596073,0.8143395679280847,0.8633318834275772,0.8755799623024503,0.8773039675101532,0.9746678476555831,0.9804557383409339,0.8143395679280847,0.936820356676816,0.06317964332318399,0.18566043207191532
6,baseline-and-fourier-min,0.9062244973662734,0.885529940553864,0.8763375380600261,0.8740394374365666,0.8957577090895757,0.9432664341204512,0.9525205016356896,0.885529940553864,0.8625489343192693,0.13745106568073076,0.114470059446136
7,advanced-and-fourier,0.8868670886075949,0.8126721763085399,0.8254023488473249,0.8285848919820211,0.8481501097071952,0.9370977481178817,0.9522415144392717,0.8126721763085399,0.8444976076555024,0.15550239234449761,0.18732782369146006
8,advanced-and-fourier-min,0.903242184666715,0.9027838190517616,0.8836450630709004,0.8788603740756851,0.9030129436931221,0.9321646708231472,0.942937325818559,0.9027838190517616,0.8549369290996085,0.14506307090039147,0.09721618094823836
9,baseline-advanced-and-fourier,0.8957559302657903,0.9088734232274902,0.8818616789908655,0.8751087429317095,0.9022670025188917,0.938033426886626,0.9534017314525589,0.9088734232274902,0.8413440626359286,0.15865593736407133,0.09112657677250979
10,baseline-advanced-and-fourier-min,0.9061761969512632,0.9179353342032768,0.8937364071335363,0.8876866753661012,0.9120178629308171,0.9331084103174008,0.9440876928542445,0.9179353342032768,0.8574380165289256,0.14256198347107438,0.08206466579672321
