,feature_set,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
0,baseline-only,0.6950872656755009,0.7795418297810642,0.6625489343192692,0.6333007104538205,0.734896118097321,0.7117552433580725,0.7302538335029696,0.7795418297810642,0.48705959112657676,0.5129404088734232,0.22045817021893577
1,advanced-only,0.6690926973198918,0.986370885892417,0.6991300565463245,0.6273198492098013,0.7973277857540507,0.6455654965126267,0.8357089647586622,0.986370885892417,0.2682688125271857,0.7317311874728143,0.013629114107583008
2,fourier-only,0.6416493481957302,0.9848484848484849,0.6608960417572858,0.579907930984486,0.7770405536807183,0.5944320497158115,0.8215659072096761,0.9848484848484849,0.17496737712048716,0.8250326228795128,0.015151515151515152
3,fourier-min-only,0.6221337795667314,0.9972451790633609,0.6349282296650718,0.5443489923154995,0.766244255674697,0.6951374566155591,0.7727403193692918,0.9972451790633609,0.0914528055676381,0.9085471944323619,0.0027548209366391185
4,baseline-and-advanced,0.6756005558864403,0.9868058576192548,0.7077859939103959,0.6380310279831811,0.8020741264510046,0.6545739426078236,0.8385262753274794,0.9868058576192548,0.2892561983471074,0.7107438016528925,0.013194142380745252
5,baseline-and-fourier,0.6877686201142742,0.9860809047411918,0.723053501522401,0.6572966507177034,0.8103422596884216,0.6733693983988474,0.845941685411879,0.9860809047411918,0.3285123966942149,0.6714876033057852,0.013919095258808177
6,baseline-and-fourier-min,0.7548640313989347,0.9760040597361171,0.7954327968682036,0.7502899811512251,0.8513073445255935,0.8526015102732982,0.8785310378948106,0.9760040597361171,0.5245759025663332,0.4754240974336668,0.023995940263882846
7,advanced-and-fourier,0.7114471968709257,0.9889807162534435,0.752718573292736,0.6936530375525591,0.8275652886044466,0.6984497092399737,0.8549227483842459,0.9889807162534435,0.39832535885167464,0.6016746411483254,0.011019283746556474
8,advanced-and-fourier-min,0.7112485705374779,0.9919530230535015,0.7535450195737277,0.6939430187037843,0.8284693630418988,0.7078450898679842,0.8577279273687946,0.9919530230535015,0.39593301435406697,0.604066985645933,0.008046976946498478
9,baseline-advanced-and-fourier,0.7117607070020394,0.9867333623314485,0.7522836015658982,0.6936711613745107,0.8269890937813288,0.6996600518106384,0.855020704066689,0.9867333623314485,0.4006089604175729,0.5993910395824271,0.013266637668551544
10,baseline-advanced-and-fourier-min,0.7162693214566414,0.9910105843120197,0.7590691605045672,0.7010838045527041,0.8315338057726817,0.7178500820782883,0.8612569162717518,0.9910105843120197,0.41115702479338845,0.5888429752066116,0.008989415687980281
