,feature_set,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
0,baseline-only,0.7287366749829893,0.6987820791648542,0.6632013919095259,0.6543062200956937,0.7134450982569113,0.7210171312766366,0.7659451263227108,0.6987820791648542,0.6098303610265333,0.39016963897346674,0.3012179208351457
1,advanced-only,0.6902472527472527,0.7285776424532405,0.6409743366681165,0.6190735102218357,0.7088946885800945,0.6701724121783759,0.7421598150567514,0.7285776424532405,0.5095693779904307,0.4904306220095694,0.2714223575467595
2,fourier-only,0.9073829443710554,0.8963317384370016,0.8829056111352762,0.8795490793098448,0.9018234865061999,0.9582121504751169,0.9695908963264714,0.8963317384370016,0.8627664201826881,0.13723357981731188,0.10366826156299841
3,fourier-min-only,0.8191713946430927,0.9001739886907351,0.8208786428882122,0.8010548064375815,0.8577645758496821,0.8349098141591653,0.8652503840705863,0.9001739886907351,0.701935624184428,0.298064375815572,0.0998260113092649
4,baseline-and-advanced,0.7002866475568296,0.7615629984051037,0.6613745106568073,0.6363273887197332,0.7296405625976733,0.691751723284572,0.75817013938388,0.7615629984051037,0.5110917790343628,0.48890822096563724,0.23843700159489634
5,baseline-and-fourier,0.9470493438723045,0.8946643468174569,0.906785558938669,0.909815861968972,0.920111835973905,0.978034692479656,0.9836660742511657,0.8946643468174569,0.9249673771204872,0.07503262287951283,0.10533565318254313
6,baseline-and-fourier-min,0.9171918627842043,0.8334783239089459,0.8549369290996085,0.8603015803972742,0.8733335865395572,0.9517168218015373,0.9616836226898009,0.8334783239089459,0.8871248368856024,0.11287516311439756,0.1665216760910541
7,advanced-and-fourier,0.9460055096418732,0.8713208641438307,0.8929534580252284,0.8983616064955778,0.9071285708894675,0.9768198879328172,0.9826657698392327,0.8713208641438307,0.925402348847325,0.07459765115267508,0.12867913585616936
8,advanced-and-fourier-min,0.9093298291721419,0.8026678265912716,0.8335798173118747,0.8413078149920254,0.8526761648055449,0.9453974534445604,0.9573296274984993,0.8026678265912716,0.8799478033927794,0.12005219660722052,0.19733217340872844
9,baseline-advanced-and-fourier,0.9539405530321141,0.8678410903291286,0.8955632883862549,0.9024938379005365,0.908856242645105,0.9796379648709088,0.9847912197661222,0.8678410903291286,0.9371465854719443,0.06285341452805568,0.1321589096708714
10,baseline-advanced-and-fourier-min,0.9132460438589445,0.8241989270697405,0.8475424097433667,0.8533782804117733,0.866440574629425,0.9491177679801401,0.9602371859857822,0.8241989270697405,0.882557633753806,0.117442366246194,0.17580107293025954
