,feature_set,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
0,baseline-only,0.6043468618318918,0.6488095238095238,0.5344285714285715,0.5058333333333334,0.6257894132506603,0.49629625850340137,0.635145600800638,0.6488095238095238,0.3628571428571429,0.6371428571428571,0.35119047619047616
1,advanced-only,0.576931844084796,0.6026190476190476,0.49642857142857144,0.4698809523809524,0.5894957493886108,0.4492346088435374,0.6057181397521179,0.6026190476190476,0.33714285714285713,0.6628571428571428,0.3973809523809524
2,fourier-only,0.7902659307576518,0.75,0.7305714285714285,0.7257142857142858,0.7696066454923038,0.8268835034013606,0.8697639529136003,0.75,0.7014285714285714,0.2985714285714286,0.25
3,fourier-min-only,0.6947075208913649,0.5938095238095238,0.5997142857142858,0.6011904761904762,0.6403080872913992,0.6578711734693878,0.7047711159036059,0.5938095238095238,0.6085714285714285,0.3914285714285714,0.4061904761904762
4,baseline-and-advanced,0.5865853658536585,0.6871428571428572,0.5217142857142857,0.48035714285714287,0.6328947368421053,0.46200935374149665,0.6320172434150009,0.6871428571428572,0.2735714285714286,0.7264285714285714,0.31285714285714283
5,baseline-and-fourier,0.8759358288770054,0.78,0.8017142857142857,0.8071428571428572,0.8251889168765744,0.9053971088435375,0.9244981572396954,0.78,0.8342857142857143,0.1657142857142857,0.22
6,baseline-and-fourier-min,0.7989678053575817,0.7740476190476191,0.7475714285714286,0.740952380952381,0.7863103156367154,0.8199375850340136,0.8530403086740839,0.7740476190476191,0.7078571428571429,0.29214285714285715,0.22595238095238096
7,advanced-and-fourier,0.7926114649681528,0.7407142857142858,0.7281428571428571,0.7250000000000001,0.7657846153846155,0.8111200680272109,0.8496463883114258,0.7407142857142858,0.7092857142857143,0.2907142857142857,0.2592857142857143
8,advanced-and-fourier-min,0.749631087063453,0.7257142857142858,0.69,0.6810714285714285,0.7374788289378177,0.7385744047619046,0.7906481584742507,0.7257142857142858,0.6364285714285715,0.36357142857142855,0.2742857142857143
9,baseline-advanced-and-fourier,0.8067537589351738,0.7792857142857142,0.7555714285714286,0.749642857142857,0.7927818820394816,0.8321125,0.8683395807309673,0.7792857142857142,0.72,0.28,0.22071428571428572
10,baseline-advanced-and-fourier-min,0.7603946441155743,0.7707142857142857,0.7167142857142857,0.7032142857142857,0.7655196878325649,0.7507744897959185,0.8050206247871882,0.7707142857142857,0.6357142857142857,0.36428571428571427,0.2292857142857143
