,feature_set,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
0,baseline-only,0.6457883369330454,0.49833333333333335,0.535,0.5441666666666667,0.5625587958607714,0.6403231292517007,0.6994102046923959,0.49833333333333335,0.59,0.41,0.5016666666666667
1,advanced-only,0.5693631669535284,0.7876190476190477,0.5151428571428571,0.44702380952380955,0.660939060939061,0.3200705782312925,0.47847672933570884,0.7876190476190477,0.10642857142857143,0.8935714285714286,0.2123809523809524
2,fourier-only,0.6774580335731415,0.8071428571428572,0.6537142857142857,0.6153571428571429,0.7366362451108214,0.7111176870748299,0.8146993982275009,0.8071428571428572,0.4235714285714286,0.5764285714285714,0.19285714285714287
3,fourier-min-only,0.6541598694942904,0.6683333333333333,0.589,0.5691666666666666,0.6611706512778236,0.6185079931972789,0.7285165686625221,0.6683333333333333,0.47,0.53,0.33166666666666667
4,baseline-and-advanced,0.5740149094781682,0.77,0.5191428571428571,0.4564285714285714,0.6577181208053691,0.3335984693877551,0.4832574956782286,0.77,0.14285714285714285,0.8571428571428571,0.23
5,baseline-and-fourier,0.7246439361242987,0.7995238095238095,0.6974285714285714,0.6719047619047619,0.7602445098483134,0.7841486394557823,0.8684406003615872,0.7995238095238095,0.5442857142857143,0.45571428571428574,0.20047619047619047
6,baseline-and-fourier-min,0.6830898737311215,0.6569047619047619,0.6112857142857143,0.5998809523809523,0.6697414734797912,0.6611387755102042,0.7526438957988072,0.6569047619047619,0.5428571428571428,0.45714285714285713,0.3430952380952381
7,advanced-and-fourier,0.6212504517528009,0.8185714285714286,0.5917142857142857,0.535,0.7063899732895007,0.5011860544217687,0.6399384803525627,0.8185714285714286,0.25142857142857145,0.7485714285714286,0.18142857142857144
8,advanced-and-fourier-min,0.6292134831460674,0.7733333333333333,0.5905714285714285,0.5448809523809524,0.6938688314462722,0.49675153061224486,0.5632911075082437,0.7733333333333333,0.31642857142857145,0.6835714285714286,0.22666666666666666
9,baseline-advanced-and-fourier,0.6217485549132948,0.8195238095238095,0.5925714285714285,0.5358333333333334,0.7070665571076418,0.4973151360544218,0.634384471805331,0.8195238095238095,0.25214285714285717,0.7478571428571429,0.18047619047619048
10,baseline-advanced-and-fourier-min,0.624313576974058,0.785,0.5875714285714285,0.5382142857142858,0.6954962556692333,0.4851056122448979,0.5556610944914141,0.785,0.2914285714285714,0.7085714285714285,0.215
