,feature_set,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
0,baseline-only,0.6468045693115159,0.4988095238095238,0.5358571428571428,0.5451190476190476,0.5632477483532733,0.6320865646258504,0.6755736033122723,0.4988095238095238,0.5914285714285714,0.4085714285714286,0.5011904761904762
1,advanced-only,0.5170278637770898,0.675952380952381,0.4267142857142857,0.3644047619047619,0.5859044474254462,0.27621598639455786,0.4713944791094759,0.675952380952381,0.05285714285714286,0.9471428571428572,0.32404761904761903
2,fourier-only,0.6987926286803643,0.7854761904761904,0.6681428571428571,0.6388095238095238,0.7396031834996076,0.7454680272108842,0.8394278813726621,0.7854761904761904,0.49214285714285716,0.5078571428571429,0.21452380952380953
3,fourier-min-only,0.6681222707423581,0.7285714285714285,0.62,0.5928571428571429,0.6970387243735763,0.6178414965986394,0.7217830863030977,0.7285714285714285,0.45714285714285713,0.5428571428571428,0.2714285714285714
4,baseline-and-advanced,0.5361532899493854,0.7061904761904761,0.45714285714285713,0.39488095238095233,0.6095355528154541,0.3234654761904762,0.49804886328683373,0.7061904761904761,0.08357142857142857,0.9164285714285715,0.2938095238095238
5,baseline-and-fourier,0.7940102264426588,0.7764285714285715,0.745,0.7371428571428571,0.785120982304081,0.8345959183673468,0.8968571846616393,0.7764285714285715,0.6978571428571428,0.30214285714285716,0.22357142857142856
6,baseline-and-fourier-min,0.7323978952643447,0.695952380952381,0.665,0.6572619047619048,0.7137101696984495,0.6948107142857143,0.760141432127577,0.695952380952381,0.6185714285714285,0.38142857142857145,0.30404761904761907
7,advanced-and-fourier,0.6462612982744453,0.7490476190476191,0.6034285714285714,0.5670238095238096,0.6938685487428319,0.625019387755102,0.7362030289873686,0.7490476190476191,0.385,0.615,0.2509523809523809
8,advanced-and-fourier-min,0.6666666666666666,0.7847619047619048,0.6354285714285715,0.5980952380952381,0.7209098862642169,0.5627615646258504,0.6277160067706833,0.7847619047619048,0.4114285714285714,0.5885714285714285,0.21523809523809523
9,baseline-advanced-and-fourier,0.643343653250774,0.7421428571428571,0.5984285714285714,0.5625,0.6892205638474296,0.623625850340136,0.7349642459437321,0.7421428571428571,0.38285714285714284,0.6171428571428571,0.25785714285714284
10,baseline-advanced-and-fourier-min,0.6601509580027095,0.8121428571428572,0.6364285714285715,0.5925,0.7283014839329561,0.5589003401360545,0.6300917661377992,0.8121428571428572,0.37285714285714283,0.6271428571428571,0.18785714285714286
