,feature_set,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
0,baseline-only,0.652138983731673,0.7730952380952381,0.6164285714285714,0.5772619047619048,0.7074844754330536,0.5514512755102041,0.5906284910563616,0.7730952380952381,0.38142857142857145,0.6185714285714285,0.22690476190476191
1,advanced-only,0.643952907599001,0.8595238095238096,0.6305714285714286,0.5733333333333334,0.7362839078115441,0.4537984693877551,0.5391827257645776,0.8595238095238096,0.28714285714285714,0.7128571428571429,0.14047619047619048
2,fourier-only,0.8753722794959908,0.9097619047619048,0.8681428571428571,0.8577380952380953,0.8922358435493287,0.9506584183673469,0.9661124043971063,0.9097619047619048,0.8057142857142857,0.19428571428571428,0.09023809523809524
3,fourier-min-only,0.7475618904726181,0.949047619047619,0.7771428571428571,0.7341666666666666,0.8363407469576164,0.7355700680272109,0.7809311266935319,0.949047619047619,0.5192857142857142,0.4807142857142857,0.05095238095238095
4,baseline-and-advanced,0.6356407012470631,0.8373809523809523,0.6144285714285714,0.5586904761904762,0.7226959827391349,0.49946364795918363,0.6089052318522734,0.8373809523809523,0.28,0.72,0.1626190476190476
5,baseline-and-fourier,0.910135841170324,0.8295238095238096,0.8485714285714285,0.8533333333333333,0.8679621325361235,0.9512946428571428,0.9641735675574707,0.8295238095238096,0.8771428571428571,0.12285714285714286,0.17047619047619048
6,baseline-and-fourier-min,0.868122270742358,0.9466666666666667,0.8817142857142857,0.8654761904761905,0.9056947608200456,0.9130671768707483,0.923583418807053,0.9466666666666667,0.7842857142857143,0.21571428571428572,0.05333333333333334
7,advanced-and-fourier,0.8356164383561644,0.8423809523809523,0.806,0.7969047619047619,0.838985060469528,0.8967960034013606,0.9247417468314326,0.8423809523809523,0.7514285714285714,0.24857142857142858,0.15761904761904763
8,advanced-and-fourier-min,0.8478625314333613,0.9633333333333334,0.8742857142857143,0.8520238095238095,0.9019170753455193,0.8743914965986394,0.8929723149073148,0.9633333333333334,0.7407142857142858,0.2592857142857143,0.03666666666666667
9,baseline-advanced-and-fourier,0.8419055649241147,0.950952380952381,0.8634285714285714,0.841547619047619,0.8931127012522362,0.8873040816326531,0.9182234002147829,0.950952380952381,0.7321428571428571,0.26785714285714285,0.04904761904761905
10,baseline-advanced-and-fourier-min,0.8568738229755178,0.975,0.8872857142857142,0.8653571428571428,0.9121282993651854,0.882750850340136,0.9036916150935613,0.975,0.7557142857142857,0.24428571428571427,0.025
