,feature_set,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
0,baseline-only,0.6625409537677467,0.8666666666666667,0.6551428571428571,0.6022619047619048,0.7509799876212091,0.6402862244897959,0.6537738901209478,0.8666666666666667,0.33785714285714286,0.6621428571428571,0.13333333333333333
1,advanced-only,0.6115317414094351,1.0,0.6188571428571429,0.5235714285714286,0.758944705457174,0.5577488095238096,0.8144868793049298,1.0,0.047142857142857146,0.9528571428571428,0.0
2,fourier-only,0.6178813809383299,0.9971428571428571,0.6282857142857143,0.5360714285714285,0.7629805064674804,0.5485100340136054,0.8115772033872826,0.9971428571428571,0.075,0.925,0.002857142857142857
3,fourier-min-only,0.6018916595012898,1.0,0.6031428571428571,0.5039285714285714,0.7514761137949544,0.6257219387755102,0.7352261304761187,1.0,0.007857142857142858,0.9921428571428571,0.0
4,baseline-and-advanced,0.6252983293556086,0.9980952380952381,0.64,0.5504761904761905,0.7688921496698459,0.578685119047619,0.818357230480368,0.9980952380952381,0.10285714285714286,0.8971428571428571,0.0019047619047619048
5,baseline-and-fourier,0.6484979869928771,0.9971428571428571,0.674,0.5932142857142857,0.7858885344342278,0.6010015306122449,0.8258808601943406,0.9971428571428571,0.18928571428571428,0.8107142857142857,0.002857142857142857
6,baseline-and-fourier-min,0.7098639455782313,0.9938095238095238,0.7525714285714286,0.6922619047619047,0.8281746031746032,0.789858163265306,0.8209124784760505,0.9938095238095238,0.39071428571428574,0.6092857142857143,0.006190476190476191
7,advanced-and-fourier,0.6626582278481012,0.9971428571428571,0.6937142857142857,0.6178571428571429,0.7961977186311787,0.6212731292517006,0.8317543944872305,0.9971428571428571,0.23857142857142857,0.7614285714285715,0.002857142857142857
8,advanced-and-fourier-min,0.6612572869072002,0.9992857142857143,0.6924285714285714,0.6157142857142858,0.795866123068171,0.6364000000000001,0.836008209948815,0.9992857142857143,0.23214285714285715,0.7678571428571429,0.0007142857142857143
9,baseline-advanced-and-fourier,0.6626582278481012,0.9971428571428571,0.6937142857142857,0.6178571428571429,0.7961977186311787,0.6259377551020407,0.8331369573406103,0.9971428571428571,0.23857142857142857,0.7614285714285715,0.002857142857142857
10,baseline-advanced-and-fourier-min,0.6699680511182109,0.9985714285714286,0.704,0.6303571428571428,0.8019120458891013,0.6527041666666668,0.8409596029898295,0.9985714285714286,0.2621428571428571,0.7378571428571429,0.0014285714285714286
