,feature_set,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
0,baseline-only,0.5708603726187984,0.6492857142857142,0.4967142857142857,0.4585714285714285,0.6075526345104155,0.386374574829932,0.5017343301292045,0.6492857142857142,0.26785714285714285,0.7321428571428571,0.3507142857142857
1,advanced-only,0.5742784380305602,0.6442857142857142,0.5,0.4639285714285714,0.6072710951526032,0.41013401360544216,0.5351813129353384,0.6442857142857142,0.2835714285714286,0.7164285714285714,0.3557142857142857
2,fourier-only,0.8936221419975933,0.8840476190476191,0.8672857142857143,0.8630952380952381,0.8888090963494913,0.9532593537414966,0.9673138525812833,0.8840476190476191,0.8421428571428572,0.15785714285714286,0.11595238095238095
3,fourier-min-only,0.7512810405991328,0.9076190476190477,0.7642857142857142,0.728452380952381,0.8220832434763857,0.7116921768707483,0.7619837602863528,0.9076190476190477,0.5492857142857143,0.45071428571428573,0.09238095238095238
4,baseline-and-advanced,0.5617455896007428,0.7202380952380952,0.495,0.4386904761904762,0.6311945748565467,0.3410829931972789,0.4969411924105017,0.7202380952380952,0.15714285714285714,0.8428571428571429,0.27976190476190477
5,baseline-and-fourier,0.9633642930856553,0.8890476190476191,0.9131428571428571,0.9191666666666667,0.9247152055473008,0.9851080782312926,0.9891380716505577,0.8890476190476191,0.9492857142857143,0.05071428571428571,0.11095238095238096
6,baseline-and-fourier-min,0.8735771373213853,0.8588095238095238,0.8407142857142857,0.8361904761904762,0.8661303878016569,0.9165692176870748,0.9320093543079406,0.8588095238095238,0.8135714285714286,0.18642857142857142,0.1411904761904762
7,advanced-and-fourier,0.9338590689392012,0.8740476190476191,0.8872857142857142,0.8905952380952381,0.9029639650719468,0.9699235544217687,0.977634772106557,0.8740476190476191,0.9071428571428571,0.09285714285714286,0.12595238095238095
8,advanced-and-fourier-min,0.8626120010860712,0.7564285714285715,0.7815714285714286,0.7878571428571428,0.8060383102879615,0.8991630102040817,0.9155540188663425,0.7564285714285715,0.8192857142857143,0.18071428571428572,0.24357142857142858
9,baseline-advanced-and-fourier,0.9451487710219922,0.8697619047619047,0.8915714285714286,0.8970238095238094,0.9058896466212026,0.9762778061224491,0.9825279501584722,0.8697619047619047,0.9242857142857143,0.07571428571428572,0.13023809523809524
10,baseline-advanced-and-fourier-min,0.8788501026694046,0.8152380952380952,0.8217142857142857,0.8233333333333333,0.8458498023715415,0.9121857142857143,0.9254076380003758,0.8152380952380952,0.8314285714285714,0.16857142857142857,0.18476190476190477
