,original_feature_name,features,importances,colors
0,fourier.value.1byte.120,$Fourier$ $raw$ $value$ $120$ $(1$ $byte)$,0.016314885240746504,blue
1,fourier.stat.1byte.std,$Fourier$ $standard$ $deviation$ $(1$ $byte)$,0.012918897055744435,blue
2,fourier.value.1byte.131,$Fourier$ $raw$ $value$ $131$ $(1$ $byte)$,0.011833172689786292,blue
3,fourier.value.1byte.132,$Fourier$ $raw$ $value$ $132$ $(1$ $byte)$,0.009570132820590337,blue
4,fourier.value.1byte.121,$Fourier$ $raw$ $value$ $121$ $(1$ $byte)$,0.009459826706584787,blue
5,fourier.value.1byte.128,$Fourier$ $raw$ $value$ $128$ $(1$ $byte)$,0.008610164445393396,blue
6,fourier.value.1byte.123,$Fourier$ $raw$ $value$ $123$ $(1$ $byte)$,0.008060388310259766,blue
7,fourier.value.1byte.130,$Fourier$ $raw$ $value$ $130$ $(1$ $byte)$,0.00724663620642431,blue
8,fourier.value.1byte.104,$Fourier$ $raw$ $value$ $104$ $(1$ $byte)$,0.007162822959762605,blue
9,baseline.autocorrelation_full,$auto$-$correlation$,0.007135647170749469,green
10,fourier.value.1byte.154,$Fourier$ $raw$ $value$ $154$ $(1$ $byte)$,0.00629644650446081,blue
11,fourier.stat.4byte.mean,$Fourier$ ${mean}$ $(4$ $bytes)$,0.00621741481362476,blue
12,fourier.stat.4byte.std,$Fourier$ $standard$ $deviation$ $(4$ $bytes)$,0.006205942984321371,blue
13,advanced.dit.renyi.full.6,$R\'enyi's$ $entropy$ $(\alpha = 6)$,0.0061757661531664475,red
14,advanced.dit.renyi.full.inf,$R\'enyi's$ $entropy$ $(\alpha = \infty)$,0.006089823323274551,red
15,advanced.skew_full,$skewness$,0.00605390895171138,red
16,advanced.dit.renyi.full.7,$R\'enyi's$ $entropy$ $(\alpha = 7)$,0.005981137788623262,red
17,advanced.dit.renyi.full.1,$R\'enyi's$ $entropy$ $(\alpha = 1)$,0.00577253556341814,red
18,advanced.dit.tsallis.full.1,$Tsallis$ $entropy$ $(n = 1)$,0.005745089301929739,red
19,fourier.value.1byte.96,$Fourier$ $raw$ $value$ $96$ $(1$ $byte)$,0.005713028841585758,blue
20,fourier.value.4byte.96,$Fourier$ $raw$ $value$ $96$ $(4$ $bytes)$,0.005623427432280617,blue
21,advanced.dit.renyi.full.3,$R\'enyi's$ $entropy$ $(\alpha = 3)$,0.005547729091189747,red
22,advanced.dit.tsallis.full.2,$Tsallis$ $entropy$ $(n = 2)$,0.005544493671034994,red
23,fourier.stat.1byte.autocorr,$Fourier$ $auto$-$correlation$ $(1$ $byte)$,0.005480702431466433,blue
24,baseline.chisquare_full,$chi$-$squared$,0.00534355864262939,green
25,advanced.dit.renyi.full.5,$R\'enyi's$ $entropy$ $(\alpha = 5)$,0.005303816321912854,red
26,baseline.montecarlo_pi,$Monte$-$Carlo$ $\pi$,0.005246832969602977,green
27,fourier.value.4byte.155,$Fourier$ $raw$ $value$ $155$ $(4$ $bytes)$,0.005230784696066598,blue
28,fourier.value.1byte.97,$Fourier$ $raw$ $value$ $97$ $(1$ $byte)$,0.00519704610860793,blue
29,advanced.dit.renyi.full.2,$R\'enyi's$ $entropy$ $(\alpha = 2)$,0.005170205169169515,red
30,fourier.stat.4byte.chisq,$Fourier$ $chi$-$squared$ $(4$ $bytes)$,0.005166253928186283,blue
