,original_feature_name,features,importances,colors
0,fourier.value.1byte.120,$Fourier$ $raw$ $value$ $120$ $(1$ $byte)$,0.015966060509580715,blue
1,fourier.value.1byte.131,$Fourier$ $raw$ $value$ $131$ $(1$ $byte)$,0.012397570689707921,blue
2,fourier.stat.1byte.std,$Fourier$ $standard$ $deviation$ $(1$ $byte)$,0.011350804743806737,blue
3,fourier.value.1byte.132,$Fourier$ $raw$ $value$ $132$ $(1$ $byte)$,0.009564729083816483,blue
4,fourier.value.1byte.128,$Fourier$ $raw$ $value$ $128$ $(1$ $byte)$,0.008716907841865905,blue
5,fourier.value.1byte.123,$Fourier$ $raw$ $value$ $123$ $(1$ $byte)$,0.008516441918267737,blue
6,advanced.dit.renyi.full.inf,$R\'enyi's$ $entropy$ $(\alpha = \infty)$,0.007698591758103506,red
7,fourier.value.1byte.130,$Fourier$ $raw$ $value$ $130$ $(1$ $byte)$,0.007612080890314017,blue
8,fourier.value.4byte.155,$Fourier$ $raw$ $value$ $155$ $(4$ $bytes)$,0.006958015342503378,blue
9,baseline.autocorrelation_full,$auto$-$correlation$,0.0069295213810944565,green
10,fourier.stat.1byte.mean,$Fourier$ ${mean}$ $(1$ $byte)$,0.006717722995568767,blue
11,fourier.value.1byte.121,$Fourier$ $raw$ $value$ $121$ $(1$ $byte)$,0.006617110806543206,blue
12,fourier.stat.4byte.mean,$Fourier$ ${mean}$ $(4$ $bytes)$,0.006397377150860275,blue
13,baseline.montecarlo_pi,$Monte$-$Carlo$ $\pi$,0.006145405027521925,green
14,advanced.skew_full,$skewness$,0.005980856439699503,red
15,fourier.stat.4byte.std,$Fourier$ $standard$ $deviation$ $(4$ $bytes)$,0.005964188116791276,blue
16,fourier.value.1byte.119,$Fourier$ $raw$ $value$ $119$ $(1$ $byte)$,0.005884809892378178,blue
17,fourier.value.1byte.147,$Fourier$ $raw$ $value$ $147$ $(1$ $byte)$,0.00575831738784883,blue
18,advanced.dit.renyi.full.10,$R\'enyi's$ $entropy$ $(\alpha = 10)$,0.005518287031575012,red
19,advanced.dit.tsallis.full.2,$Tsallis$ $entropy$ $(q = 2)$,0.005438641274401491,red
20,advanced.dit.renyi.full.8,$R\'enyi's$ $entropy$ $(\alpha = 8)$,0.005374248523810092,red
21,baseline.chisquare_full,$chi$-$squared$,0.005300850522288264,green
22,fourier.value.4byte.156,$Fourier$ $raw$ $value$ $156$ $(4$ $bytes)$,0.005279793488202507,blue
23,advanced.dit.renyi.full.3,$R\'enyi's$ $entropy$ $(\alpha = 3)$,0.005260882015500618,red
24,fourier.stat.4byte.chisq,$Fourier$ $chi$-$squared$ $(4$ $bytes)$,0.005255788845327668,blue
25,baseline.shannon_entropy,$Shannon's$ $entropy$,0.005250535510126089,green
26,fourier.value.4byte.96,$Fourier$ $raw$ $value$ $96$ $(4$ $bytes)$,0.005113611896127108,blue
27,fourier.value.4byte.108,$Fourier$ $raw$ $value$ $108$ $(4$ $bytes)$,0.005073935331897403,blue
28,fourier.value.1byte.97,$Fourier$ $raw$ $value$ $97$ $(1$ $byte)$,0.005063980856235526,blue
29,advanced.dit.renyi.full.2,$R\'enyi's$ $entropy$ $(\alpha = 2)$,0.004928223228465536,red
30,fourier.value.1byte.96,$Fourier$ $raw$ $value$ $96$ $(1$ $byte)$,0.004898011533660495,blue
31,advanced.dit.renyi.full.1,$R\'enyi's$ $entropy$ $(\alpha = 1)$,0.004895219465415466,red
32,fourier.stat.1byte.autocorr,$Fourier$ $auto$-$correlation$ $(1$ $byte)$,0.004893865576812115,blue
33,advanced.dit.renyi.full.4,$R\'enyi's$ $entropy$ $(\alpha = 4)$,0.0048281019619602706,red
34,fourier.value.1byte.104,$Fourier$ $raw$ $value$ $104$ $(1$ $byte)$,0.004813238854310708,blue
35,advanced.moment_full.3,$3^{rd}$ ${moment}$,0.004807810159899726,red
36,fourier.value.1byte.155,$Fourier$ $raw$ $value$ $155$ $(1$ $byte)$,0.004726442261666727,blue
37,advanced.dit.tsallis.full.1,$Tsallis$ $entropy$ $(q = 1)$,0.004683058631744433,red
38,advanced.dit.renyi.full.7,$R\'enyi's$ $entropy$ $(\alpha = 7)$,0.004453874821978568,red
39,advanced.dit.renyi.full.6,$R\'enyi's$ $entropy$ $(\alpha = 6)$,0.004280527601629023,red
40,advanced.dit.extropy.full,$extropy$,0.003991242584319754,red
41,advanced.dit.renyi.full.9,$R\'enyi's$ $entropy$ $(\alpha = 9)$,0.003968518707998716,red
42,fourier.value.1byte.154,$Fourier$ $raw$ $value$ $154$ $(1$ $byte)$,0.003939369306390284,blue
43,fourier.value.1byte.33,$Fourier$ $raw$ $value$ $33$ $(1$ $byte)$,0.0038308459769928944,blue
44,fourier.value.1byte.218,$Fourier$ $raw$ $value$ $218$ $(1$ $byte)$,0.0037911976258116573,blue
45,advanced.dit.renyi.full.5,$R\'enyi's$ $entropy$ $(\alpha = 5)$,0.003781593084214699,red
46,fourier.value.4byte.97,$Fourier$ $raw$ $value$ $97$ $(4$ $bytes)$,0.003743170828562576,blue
47,fourier.value.1byte.191,$Fourier$ $raw$ $value$ $191$ $(1$ $byte)$,0.003730206115911207,blue
48,fourier.stat.1byte.chisq,$Fourier$ $chi$-$squared$ $(1$ $byte)$,0.003676228001921823,blue
49,advanced.moment_full.2,$2^{nd}$ ${moment}$,0.0036609942928023122,red
50,fourier.value.1byte.129,$Fourier$ $raw$ $value$ $129$ $(1$ $byte)$,0.0035709902353882935,blue
51,fourier.stat.4byte.autocorr,$Fourier$ $auto$-$correlation$ $(4$ $bytes)$,0.00352267003274784,blue
52,advanced.kurtosis_full,$kurtosis$,0.003510715360096508,red
53,fourier.value.4byte.154,$Fourier$ $raw$ $value$ $154$ $(4$ $bytes)$,0.0035079763757150826,blue
54,fourier.value.4byte.250,$Fourier$ $raw$ $value$ $250$ $(4$ $bytes)$,0.003506339719747742,blue
55,fourier.value.1byte.60,$Fourier$ $raw$ $value$ $60$ $(1$ $byte)$,0.0035005361935985402,blue
56,fourier.stat.4byte.moment.2,$Fourier$ $2^{nd}$ ${moment}$ $(4$ $bytes)$,0.0033726444900168307,blue
57,fourier.value.1byte.181,$Fourier$ $raw$ $value$ $181$ $(1$ $byte)$,0.003348446852995754,blue
58,fourier.value.4byte.249,$Fourier$ $raw$ $value$ $249$ $(4$ $bytes)$,0.00314316651151979,blue
59,fourier.value.1byte.70,$Fourier$ $raw$ $value$ $70$ $(1$ $byte)$,0.0031218202158580038,blue
60,fourier.value.4byte.143,$Fourier$ $raw$ $value$ $143$ $(4$ $bytes)$,0.0030956817222692282,blue
61,fourier.value.1byte.186,$Fourier$ $raw$ $value$ $186$ $(1$ $byte)$,0.0030841737069198854,blue
62,fourier.value.4byte.142,$Fourier$ $raw$ $value$ $142$ $(4$ $bytes)$,0.0030052067620764877,blue
63,fourier.value.1byte.150,$Fourier$ $raw$ $value$ $150$ $(1$ $byte)$,0.0029971029294556402,blue
64,fourier.value.4byte.95,$Fourier$ $raw$ $value$ $95$ $(4$ $bytes)$,0.0028985761036640916,blue
65,advanced.moment_full.4,$4^{th}$ ${moment}$,0.0027959549999158856,red
66,fourier.value.1byte.127,$Fourier$ $raw$ $value$ $127$ $(1$ $byte)$,0.002769164521529653,blue
67,fourier.stat.1byte.moment.2,$Fourier$ $2^{nd}$ ${moment}$ $(1$ $byte)$,0.002752806031653941,blue
68,advanced.moment_full.5,$5^{th}$ ${moment}$,0.002646150747982381,red
69,fourier.value.1byte.138,$Fourier$ $raw$ $value$ $138$ $(1$ $byte)$,0.0025745759886885056,blue
70,fourier.value.1byte.148,$Fourier$ $raw$ $value$ $148$ $(1$ $byte)$,0.0025386267491156805,blue
71,fourier.value.1byte.65,$Fourier$ $raw$ $value$ $65$ $(1$ $byte)$,0.0024868974711322513,blue
72,fourier.value.1byte.122,$Fourier$ $raw$ $value$ $122$ $(1$ $byte)$,0.0024675984904635544,blue
73,fourier.value.4byte.127,$Fourier$ $raw$ $value$ $127$ $(4$ $bytes)$,0.0024600090329303845,blue
74,fourier.value.1byte.101,$Fourier$ $raw$ $value$ $101$ $(1$ $byte)$,0.0024544043329561118,blue
75,fourier.value.1byte.124,$Fourier$ $raw$ $value$ $124$ $(1$ $byte)$,0.0024382954587988054,blue
76,advanced.moment_full.7,$7^{th}$ ${moment}$,0.0023829239107992376,red
77,fourier.value.4byte.109,$Fourier$ $raw$ $value$ $109$ $(4$ $bytes)$,0.0023693345481502074,blue
78,fourier.value.4byte.219,$Fourier$ $raw$ $value$ $219$ $(4$ $bytes)$,0.0023153088922741815,blue
79,fourier.value.1byte.103,$Fourier$ $raw$ $value$ $103$ $(1$ $byte)$,0.0023135753591290737,blue
80,fourier.value.1byte.158,$Fourier$ $raw$ $value$ $158$ $(1$ $byte)$,0.0022961138051944287,blue
81,fourier.value.1byte.221,$Fourier$ $raw$ $value$ $221$ $(1$ $byte)$,0.002272627298377584,blue
82,advanced.dit.tsallis.full.3,$Tsallis$ $entropy$ $(q = 3)$,0.0022645515984454686,red
83,fourier.value.4byte.32,$Fourier$ $raw$ $value$ $32$ $(4$ $bytes)$,0.0022611699233396365,blue
84,fourier.value.4byte.125,$Fourier$ $raw$ $value$ $125$ $(4$ $bytes)$,0.002253121947470064,blue
85,advanced.moment_full.9,$9^{th}$ ${moment}$,0.0022432788426153573,red
86,fourier.value.4byte.2,$Fourier$ $raw$ $value$ $2$ $(4$ $bytes)$,0.0022168796992170785,blue
87,fourier.value.1byte.159,$Fourier$ $raw$ $value$ $159$ $(1$ $byte)$,0.0021966392974771104,blue
88,fourier.value.1byte.88,$Fourier$ $raw$ $value$ $88$ $(1$ $byte)$,0.0021478318327808714,blue
89,fourier.value.4byte.5,$Fourier$ $raw$ $value$ $5$ $(4$ $bytes)$,0.0021196610475337054,blue
90,fourier.value.4byte.1,$Fourier$ $raw$ $value$ $1$ $(4$ $bytes)$,0.0020964685495503672,blue
91,fourier.value.1byte.126,$Fourier$ $raw$ $value$ $126$ $(1$ $byte)$,0.002081483192252215,blue
92,fourier.value.1byte.114,$Fourier$ $raw$ $value$ $114$ $(1$ $byte)$,0.002076963194854923,blue
93,fourier.value.1byte.73,$Fourier$ $raw$ $value$ $73$ $(1$ $byte)$,0.0020532122202154197,blue
94,fourier.value.4byte.246,$Fourier$ $raw$ $value$ $246$ $(4$ $bytes)$,0.0020219246590451874,blue
