run_name,precision-mean,precision-std,recall-mean,recall-std,accuracy-mean,accuracy-std,balanced_accuracy-mean,balanced_accuracy-std,f1-mean,f1-std,roc_auc-mean,roc_auc-std,auc_pr-mean,auc_pr-std,tpr-mean,tpr-std,tnr-mean,tnr-std,fpr-mean,fpr-std,fnr-mean,fnr-std
advanced-and-fourier,0.749066126007707,0.16666600329847117,0.9276976732412403,0.15135957531995523,0.7731294032196593,0.1436470057555202,0.7720031223633436,0.15035790288236683,0.8083670196677857,0.11943663804247687,0.7807086069176097,0.14590141265902473,0.8626783987083882,0.08310655937308965,0.9276976732412403,0.15135957531995523,0.6163085714854467,0.2949731463618497,0.3836914285145532,0.2949731463618496,0.0723023267587597,0.1513595753199552
advanced-and-fourier-min,0.739693523060434,0.16685194409681245,0.9680716328179758,0.08630308855111161,0.7792220667621,0.13971683357707743,0.7625138241219818,0.1616298387007555,0.8237766392171986,0.10702826646128179,0.7720864021482637,0.1615112163042885,0.8654027713942293,0.08469467537059937,0.9680716328179758,0.08630308855111161,0.5569560154259876,0.3278166984825714,0.4430439845740124,0.32781669848257133,0.03192836718202412,0.0863030885511116
advanced-only,0.7421990715275025,0.17019247618523686,0.9573649865323739,0.1051343585542781,0.7753414010401045,0.14141777934326222,0.760855729809267,0.16194393148576278,0.8187630218345345,0.10995321091415114,0.770329135452503,0.1608636641788428,0.8577545366609739,0.09544868499303598,0.9573649865323739,0.1051343585542781,0.5643464730861599,0.3325678605891556,0.4356535269138402,0.3325678605891556,0.042635013467625944,0.10513435855427818
baseline-advanced-and-fourier,0.7520363404878164,0.16742715957488258,0.9277593603569767,0.1514398032715268,0.7759608945949851,0.14442668447510448,0.7757126419373226,0.15066777217412247,0.8101764077712226,0.12024473138701788,0.7847242347497542,0.14615015024952246,0.8644288513894387,0.0835897479416767,0.9277593603569767,0.1514398032715268,0.6236659235176684,0.29436322832006956,0.37633407648233164,0.2943632283200696,0.0722406396430233,0.1514398032715268
baseline-advanced-and-fourier-min,0.7464777795069281,0.1709049157868592,0.961959571541193,0.10461480212190671,0.7808010536993724,0.14077097221412863,0.7671925635888801,0.16144550929718204,0.8230367866472541,0.10950986490660586,0.7753504879520201,0.16095807957583116,0.8664296341080473,0.08524805494969648,0.961959571541193,0.10461480212190671,0.5724255556365673,0.3330582478611224,0.4275744443634328,0.3330582478611224,0.038040428458806924,0.10461480212190664
baseline-and-advanced,0.7454918768043229,0.17119020383312034,0.9567010838790792,0.10569944909761102,0.7781670404720289,0.14213126638524282,0.7645972789230059,0.16251878559596453,0.8204561157621717,0.11074935341251538,0.7740753654527529,0.16069737976358286,0.8586162666136652,0.09733647337806647,0.9567010838790792,0.10569944909761102,0.5724934739669326,0.33299783755080115,0.4275065260330674,0.3329978375508011,0.04329891612092091,0.10569944909761107
baseline-and-fourier,0.7492361083410176,0.16762887800963167,0.8862586002241577,0.18695847747026403,0.7601696117112896,0.14796351956725992,0.7667053480555867,0.1492483697815621,0.7878050129582611,0.13108737461225475,0.7791022389373548,0.14610218239401287,0.854684808538543,0.0883375886935168,0.8862586002241577,0.18695847747026403,0.6471520958870156,0.2738724980929889,0.3528479041129844,0.273872498092989,0.11374139977584236,0.1869584774702641
baseline-and-fourier-min,0.7313818047424827,0.1619238102202832,0.9912712648613883,0.010142501569606742,0.7843401560019096,0.14210907712028711,0.75516942542628,0.1715160543139799,0.8318785713792709,0.10631131857386018,0.8469992584755106,0.13020628965920283,0.8590510299390757,0.12477625600838581,0.9912712648613883,0.010142501569606742,0.5190675859911716,0.33889310263947625,0.4809324140088283,0.33889310263947625,0.00872873513861169,0.010142501569606797
baseline-only,0.757563802240711,0.16740747770016262,0.9081616334317649,0.14715105095011402,0.7787322684858317,0.13803321860000925,0.7732895745289593,0.14809181126839732,0.8069559126479454,0.13189342980454413,0.8181234209915272,0.13792751054492405,0.7911177321769537,0.16220716930213608,0.9081616334317649,0.14715105095011402,0.6384175156261538,0.2806854567999055,0.3615824843738462,0.2806854567999055,0.09183836656823513,0.14715105095011405
fourier-min,0.7125893396520075,0.1611473299502727,0.9944174541389619,0.0052294125381388565,0.7658588842785072,0.14573521565793723,0.7314744047738435,0.17965167467218093,0.8204028670863032,0.1070790937406802,0.836070178557943,0.14105997243498417,0.8408201258467768,0.14723263067802136,0.9944174541389619,0.0052294125381388565,0.4685313554087249,0.35629403852785685,0.5314686445912751,0.35629403852785674,0.005582545861038038,0.005229412538138901
fourier-only,0.7370838676096187,0.16624995558912042,0.8861719111488691,0.1868414759059205,0.7508727099218341,0.14949683996552965,0.7555838962616047,0.1524905424153306,0.7816018464595625,0.13179346740374276,0.7643036797291065,0.14817896745457346,0.8472198772800094,0.08897958853135304,0.8861719111488691,0.1868414759059205,0.6249958813743401,0.27740863633029345,0.3750041186256598,0.27740863633029345,0.11382808885113088,0.18684147590592054
