run_name,precision-mean,precision-std,recall-mean,recall-std,accuracy-mean,accuracy-std,balanced_accuracy-mean,balanced_accuracy-std,f1-mean,f1-std,roc_auc-mean,roc_auc-std,auc_pr-mean,auc_pr-std,tpr-mean,tpr-std,tnr-mean,tnr-std,fpr-mean,fpr-std,fnr-mean,fnr-std
advanced-and-fourier,0.8477396534449338,0.14399831969937438,0.8438038624355051,0.19036774710336016,0.8514900814318465,0.1472632270356674,0.838587571653218,0.15715807941173254,0.8424010375780167,0.1682890463338292,0.8885431070060776,0.13798923421473727,0.8886901458730895,0.135972892370758,0.8438038624355051,0.19036774710336016,0.8333712808709307,0.1665567404380002,0.16662871912906926,0.16655674043800023,0.15619613756449485,0.19036774710336
advanced-and-fourier-min,0.8812960634169281,0.09980638204922922,0.9217977463190029,0.0818955522287487,0.8996612330716397,0.08694444628325543,0.8881849396310849,0.09786383842458328,0.900596574336008,0.08961598856127333,0.9352035205743733,0.06783574452065293,0.9325333531284064,0.07180848774483463,0.9217977463190029,0.0818955522287487,0.8545721329431668,0.1389832998016177,0.1454278670568332,0.13898329980161775,0.0782022536809971,0.08189555222874861
advanced-only,0.862146774303253,0.09857467903865855,0.89910041063073,0.08526386308426731,0.8787134019016908,0.08697166034065035,0.8655068311364567,0.09674894064130282,0.8798994079438147,0.09103740293830453,0.9212484159878629,0.06907948191703053,0.9191578938792015,0.07307445835857618,0.89910041063073,0.08526386308426731,0.8319132516421833,0.13563783544181046,0.16808674835781662,0.13563783544181046,0.1008995893692701,0.0852638630842674
baseline-advanced-and-fourier,0.846510686152467,0.1435172985614962,0.8650192997452391,0.15602764652373036,0.8560080099182068,0.142104884982499,0.8416362072267566,0.1547848690749119,0.8545948123188665,0.14862237989749208,0.8899251445564837,0.13704958529768846,0.8902011083228106,0.1341866622868317,0.8650192997452391,0.15602764652373036,0.818253114708274,0.18816436771596529,0.18174688529172597,0.18816436771596523,0.13498070025476103,0.15602764652373033
baseline-advanced-and-fourier-min,0.882337546008312,0.10091473707041297,0.9233094939270897,0.08130641759726917,0.9006383151126492,0.08798746541362465,0.889185619026572,0.0992878019665819,0.9018291610405075,0.08994401021744339,0.9356307503719599,0.06944537773427274,0.9332359903111105,0.0730736806285195,0.9233094939270897,0.08130641759726917,0.8550617441260544,0.14213101740482995,0.14493825587394552,0.14213101740482997,0.07669050607291036,0.08130641759726918
baseline-and-advanced,0.8682052774997272,0.09816639234225148,0.909034446754367,0.08032248295327139,0.8864146926120264,0.0851547611297298,0.8738014975016548,0.09512342966097946,0.8877626367719271,0.08848080922804509,0.9269052663349885,0.06809430804162603,0.9246070719170246,0.07251788319652343,0.909034446754367,0.08032248295327139,0.8385685482489426,0.13557030870992462,0.1614314517510574,0.13557030870992479,0.09096555324563295,0.0803224829532713
baseline-and-fourier,0.8264018059350234,0.14957479536735588,0.8730869489227098,0.14291833971434242,0.8469188867313592,0.1385829723718702,0.8287323399108685,0.15213076934954495,0.8480656868697771,0.1436944982124603,0.8763096707985126,0.13714049401652167,0.8716825724945957,0.1462781481187663,0.8730869489227098,0.14291833971434242,0.7843777308990272,0.2042496783308958,0.21562226910097276,0.20424967833089575,0.1269130510772903,0.1429183397143425
baseline-and-fourier-min,0.8493338621702159,0.12879150004829867,0.8929051086510473,0.11406360517562728,0.8692538762601265,0.11597272079354849,0.8546938593265311,0.12863369298395302,0.8700236986571499,0.1204152584047486,0.9049542070023666,0.10313611854164458,0.8998648384484608,0.11118161312337618,0.8929051086510473,0.11406360517562728,0.8164826100020147,0.17543151281006705,0.18351738999798528,0.17543151281006705,0.10709489134895261,0.11406360517562732
baseline-only,0.8247696689898322,0.1288047111761281,0.8652903881347372,0.11664415112045173,0.8425555112765301,0.11638850544630859,0.8253907055185573,0.12829591039119653,0.8441391977730722,0.12201214186259417,0.8838649411272866,0.1080675817822567,0.8786792376172958,0.11663635471427462,0.8652903881347372,0.11664415112045173,0.7854910229023775,0.17601226903964073,0.21450897709762248,0.17601226903964073,0.1347096118652628,0.11664415112045187
fourier-min,0.8187477869040285,0.15146857101407493,0.8592873005866506,0.1405654596026482,0.8381582927732915,0.13689339856276125,0.8215965388308047,0.1486708348176892,0.8380738158261237,0.14527594172367767,0.8732683627119531,0.1296729739390279,0.8609823017715011,0.14759246159312833,0.8592873005866506,0.1405654596026482,0.7839057770749591,0.1919399031917807,0.21609422292504088,0.1919399031917807,0.1407126994133495,0.1405654596026482
fourier-only,0.820155567068203,0.15663684025855565,0.8502694052808484,0.15838719269064494,0.8361022302173423,0.14318142139488557,0.816669018004046,0.15585458628533108,0.8333509079517007,0.15333642639137948,0.8673290141951874,0.14335119233939497,0.8609625244230623,0.15743439651433166,0.8502694052808484,0.15838719269064494,0.7830686307272435,0.20443479079097865,0.21693136927275647,0.2044347907909787,0.14973059471915154,0.15838719269064488
