run_name,precision-mean,precision-std,recall-mean,recall-std,accuracy-mean,accuracy-std,balanced_accuracy-mean,balanced_accuracy-std,f1-mean,f1-std,roc_auc-mean,roc_auc-std,auc_pr-mean,auc_pr-std,tpr-mean,tpr-std,tnr-mean,tnr-std,fpr-mean,fpr-std,fnr-mean,fnr-std
advanced-and-fourier,0.8489318534178408,0.11688934895086317,0.9436705153667341,0.08339284239949321,0.883416973941745,0.09099953991943119,0.8687031427416091,0.10856600542503275,0.8899557012879481,0.09014293935442522,0.928993423484419,0.07167899168544573,0.9152268134521611,0.09144597896106763,0.9436705153667341,0.08339284239949321,0.793735770116484,0.19314157626406148,0.20626422988351598,0.19314157626406153,0.05632948463326592,0.08339284239949327
advanced-and-fourier-min,0.8379679706735094,0.11633856852022025,0.9340756692421266,0.08945513012322083,0.8733638505483018,0.09243998231929927,0.8571583180854174,0.10933009143623816,0.8797679550762822,0.09334181277768376,0.9204132418374656,0.07429349000892452,0.9048440458263465,0.09413300116351932,0.9340756692421266,0.08945513012322083,0.7802409669287081,0.19273939854790553,0.21975903307129188,0.1927393985479056,0.06592433075787338,0.08945513012322076
advanced-only,0.8070277648700702,0.12466455079043957,0.9143963229585285,0.11478033601319279,0.8421492076704794,0.10127041783967641,0.8192159132322444,0.1216843712216539,0.8515353743278629,0.10583060678662891,0.8961666924565401,0.08402121055072241,0.8848438411066875,0.09736662626506486,0.9143963229585285,0.11478033601319279,0.7240355035059602,0.2228718856820946,0.2759644964940398,0.22287188568209448,0.08560367704147154,0.11478033601319275
baseline-advanced-and-fourier,0.8497226421050796,0.116202795782295,0.944462789423004,0.08144969630501829,0.8843228177984142,0.0902257647507006,0.8696994404987334,0.10778244291007039,0.8908708377328762,0.08914759508301824,0.9302650645072282,0.07078167172907343,0.9171454003738226,0.08993038988529392,0.944462789423004,0.08144969630501829,0.7949360915744628,0.19175630561648577,0.2050639084255372,0.1917563056164857,0.055537210576995996,0.08144969630501822
baseline-advanced-and-fourier-min,0.8392564831734823,0.11565510973169772,0.9349599465633657,0.08779425920841205,0.8746869936445707,0.09172336410252466,0.8586425074544765,0.10850600752811317,0.8810027013770578,0.0924909617455869,0.9220227499353144,0.07359564073084812,0.9075544171768608,0.09351283147883818,0.9349599465633657,0.08779425920841205,0.7823250683455872,0.1911468841903498,0.2176749316544127,0.19114688419034964,0.06504005343663431,0.08779425920841209
baseline-and-advanced,0.8074205333240247,0.12331060860973816,0.9164159103398658,0.1090499458743795,0.8437349579720205,0.10030723656348747,0.8208028727056244,0.1207419923166534,0.8534788353959365,0.10358096263594103,0.8987479754400116,0.08241712893582231,0.8877094026068779,0.09559358730658755,0.9164159103398658,0.1090499458743795,0.7251898350713829,0.22060670600553148,0.27481016492861715,0.2206067060055313,0.08358408966013414,0.10904994587437952
baseline-and-fourier,0.8126502240438004,0.13333968669149052,0.9363122562324658,0.07813670928020619,0.8554443762111273,0.1026670090038754,0.8394040406971645,0.12039082593213912,0.8658079474991874,0.09963808285845373,0.8988406110547669,0.0978391165395041,0.8789408588332954,0.11926106796540531,0.9363122562324658,0.07813670928020619,0.7424958251618632,0.21730385670916721,0.25750417483813687,0.21730385670916724,0.06368774376753424,0.0781367092802062
baseline-and-fourier-min,0.7867287936414716,0.13559130237780845,0.9190160424889198,0.09274074206413999,0.8320871117434855,0.10816167682905367,0.8127574549342027,0.12512649009137344,0.8438226354411819,0.10742396108655257,0.8766920102024661,0.1063058695002656,0.8546940661554877,0.12839612025525238,0.9190160424889198,0.09274074206413999,0.7064988673794854,0.22059034573221145,0.2935011326205145,0.22059034573221145,0.08098395751108022,0.09274074206413993
baseline-only,0.7279544815180193,0.1446972539948336,0.9211751426209883,0.12700135123399156,0.7781283460355943,0.11812922429499294,0.7561922405411332,0.13757162717429242,0.8043358079436782,0.11785455746379558,0.8091256979954842,0.12987992878650928,0.7646542408841971,0.17249396679959644,0.9211751426209883,0.12700135123399156,0.5912093384612781,0.24862893562926558,0.40879066153872184,0.2486289356292656,0.07882485737901174,0.12700135123399162
fourier-min-only,0.763249816833738,0.1528613795849136,0.9100863993187703,0.10665155131272291,0.8103184429533609,0.1283883645024766,0.7906833075388962,0.14121956541551733,0.8260184951177513,0.125612186948422,0.8497629568292668,0.13416815101961166,0.821225323814221,0.16610506256650404,0.9100863993187703,0.10665155131272291,0.6712802157590221,0.2328588817004686,0.328719784240978,0.2328588817004686,0.08991360068122968,0.10665155131272296
fourier-only,0.7916125037054912,0.15120367746039784,0.9183859879964219,0.1050963781020175,0.8336263179147863,0.12384456617666365,0.8169369872898223,0.13756263539687935,0.8456816664230244,0.12180485438577324,0.8752324556733111,0.12203928371530523,0.8495155140082042,0.15327870177515168,0.9183859879964219,0.1050963781020175,0.7154879865832228,0.2294845428777541,0.28451201341677723,0.2294845428777538,0.08161401200357814,0.10509637810201748
