run_name,precision-mean,precision-std,recall-mean,recall-std,accuracy-mean,accuracy-std,balanced_accuracy-mean,balanced_accuracy-std,f1-mean,f1-std,roc_auc-mean,roc_auc-std,auc_pr-mean,auc_pr-std,tpr-mean,tpr-std,tnr-mean,tnr-std,fpr-mean,fpr-std,fnr-mean,fnr-std
advanced-and-fourier,0.8545523227992559,0.1188125359245801,0.9417401710429721,0.08883516721582918,0.8866259672418573,0.09399764480441081,0.8711774719287172,0.11478157205323496,0.8923397778703357,0.09395162862517199,0.9289628997069627,0.07678034964621226,0.9161808160930701,0.0920366946992909,0.9417401710429721,0.08883516721582918,0.8006147728144624,0.2035980514661729,0.1993852271855377,0.2035980514661727,0.058259828957027866,0.08883516721582924
advanced-and-fourier-min,0.8400573456611985,0.11883598100223997,0.9266846997101748,0.09502755778106396,0.8719785455148623,0.09581293912402486,0.8544386664439405,0.11577255044879191,0.8776641403007516,0.09761547573737164,0.9179562588204548,0.08008321656569171,0.9040456487815742,0.09964683025243118,0.9266846997101748,0.09502755778106396,0.7821926331777062,0.2052777090679649,0.2178073668222938,0.2052777090679648,0.07331530028982522,0.09502755778106388
advanced-only,0.8017774957269782,0.12782120537347774,0.8989037961245507,0.139367153736011,0.8350234948299656,0.10739292064841591,0.8091143917936381,0.1298202678263182,0.8411884017931386,0.12034570635366211,0.8858100937591128,0.09346855495826945,0.8723601957120722,0.1108771375977713,0.8989037961245507,0.139367153736011,0.7193249874627256,0.2329394122573631,0.2806750125372745,0.23293941225736287,0.10109620387544922,0.139367153736011
baseline-advanced-and-fourier,0.8567541925912276,0.11707500233863591,0.9428885063513297,0.08709159854916272,0.8886717405608571,0.09285703464094638,0.8733993484857425,0.11371124101948382,0.8942497353954189,0.09245015050749536,0.9312679532776962,0.07584529285368265,0.9197771532630701,0.08944596630546654,0.9428885063513297,0.08709159854916272,0.8039101906201552,0.2014613676293203,0.1960898093798447,0.2014613676293203,0.05711149364867029,0.08709159854916268
baseline-advanced-and-fourier-min,0.8419923389854272,0.11783011958851439,0.9286194160070178,0.09286032045748925,0.8741659341270684,0.09515205669763906,0.8568226089501643,0.11521788314473722,0.879833056968402,0.09651663349178154,0.9198867937068069,0.07903310057752155,0.9067641952022404,0.09763160329029158,0.9286194160070178,0.09286032045748925,0.7850258018933108,0.2039555990119647,0.21497419810668927,0.20395559901196464,0.0713805839929822,0.09286032045748924
baseline-and-advanced,0.8035809415125247,0.12614034561942672,0.9032857046540348,0.13279991789037104,0.8386548888678147,0.10632260524050352,0.8130574230357307,0.12859059354006538,0.8452542836067298,0.1176476885613524,0.8909975638686379,0.0901868336966788,0.8790915912497154,0.10646213003973103,0.9032857046540348,0.13279991789037104,0.7228291414174267,0.2293211687648951,0.2771708585825733,0.22932116876489514,0.09671429534596525,0.1327999178903711
baseline-and-fourier,0.829504332610147,0.1319674778606059,0.9338696379967112,0.08264299405215812,0.8665275541187965,0.1049699225997455,0.8500188629692826,0.12542735544800904,0.8749856431385371,0.10173012681847639,0.9058033202774064,0.09830410493254292,0.8889855814564231,0.11589002498241967,0.9338696379967112,0.08264299405215812,0.7661680879418542,0.2220642374917308,0.23383191205814585,0.22206423749173082,0.06613036200328883,0.08264299405215816
baseline-and-fourier-min,0.8017474813179412,0.13877899681761402,0.9150816635404957,0.09568681961888226,0.842010439414667,0.11342711507522268,0.8218059920338973,0.1321308779923805,0.8516511445097475,0.11328576643328732,0.8797944431267125,0.10818105956066897,0.8590184944584369,0.12889340007993336,0.9150816635404957,0.09568681961888226,0.728530320527299,0.22806429321018107,0.27146967947270106,0.22806429321018112,0.08491833645950433,0.09568681961888229
baseline-only,0.7472199978807477,0.14429009270797893,0.9092170428512988,0.12131627323159154,0.7924917924045402,0.12342933634500934,0.7665949825725823,0.14655682164792544,0.8140594424255027,0.12108899992046923,0.8194209210043396,0.1287794290793261,0.7778181493587762,0.15968930888409733,0.9092170428512988,0.12131627323159154,0.6239729222938658,0.25829535354043826,0.37602707770613414,0.2582953535404382,0.09078295714870123,0.12131627323159169
fourier-min,0.7761754150231833,0.16032368696652458,0.8943128968381121,0.11795953522813904,0.8169803851170153,0.13425299059203732,0.7945218136963711,0.1497656574005378,0.8280111546321496,0.13657028816928574,0.8487113219943885,0.13587356990908672,0.8190099115073026,0.16849088431705417,0.8943128968381121,0.11795953522813904,0.6947307305546301,0.2452265183129536,0.3052692694453699,0.2452265183129538,0.10568710316188792,0.11795953522813905
fourier-only,0.8037545670965079,0.1539049724700635,0.9163817139246917,0.10315303808842576,0.8420770910686105,0.1271034844479601,0.8241777506318806,0.1435451497941025,0.8526703358523882,0.12521659754180264,0.8799826055125096,0.12291631224301544,0.8546940496567715,0.15413531284938134,0.9163817139246917,0.10315303808842576,0.7319737873390693,0.23835197277646894,0.26802621266093063,0.23835197277646888,0.08361828607530834,0.10315303808842567
