run_name,precision-mean,precision-std,recall-mean,recall-std,accuracy-mean,accuracy-std,balanced_accuracy-mean,balanced_accuracy-std,f1-mean,f1-std,roc_auc-mean,roc_auc-std,auc_pr-mean,auc_pr-std,tpr-mean,tpr-std,tnr-mean,tnr-std,fpr-mean,fpr-std,fnr-mean,fnr-std
advanced-and-fourier,0.7933808284173396,0.1616188910360569,0.8602663359898869,0.25237752324496976,0.8010496641480304,0.13259433285546512,0.786366860921304,0.14807791295697464,0.788527773802182,0.2002466845772864,0.7984811006516224,0.14595798621884765,0.8637740485066154,0.10997163235295232,0.8602663359898869,0.25237752324496976,0.7124673858527212,0.26930933417407404,0.2875326141472788,0.269309334174074,0.13973366401011314,0.2523775232449698
advanced-and-fourier-min,0.7743715262009588,0.1562245295568959,0.9949790563294806,0.004516590514241809,0.831287897799726,0.12465653812192284,0.8122657508346584,0.14234909593857206,0.8621906463013844,0.10022887086394663,0.8316120176722118,0.1273459938913242,0.8909220906811659,0.07855057847140158,0.9949790563294806,0.004516590514241809,0.6295524453398363,0.282174869471115,0.37044755466016366,0.282174869471115,0.005020943670519515,0.0045165905142418045
advanced-only,0.7662819779715888,0.15625704480615962,0.9907322581032757,0.014416438992799476,0.8217655504691552,0.12485836456394041,0.8011015213068896,0.1438852151196958,0.8553288495455216,0.10013714998552009,0.823551712708898,0.12605537372607192,0.8842585519097618,0.07949908408751737,0.9907322581032757,0.014416438992799476,0.6114707845105036,0.28420895255414413,0.3885292154894964,0.28420895255414413,0.00926774189672433,0.014416438992799489
baseline-advanced-and-fourier,0.7944368661590866,0.16193332963588544,0.8624755306306916,0.25405960392361415,0.8027384578978661,0.1343285191341344,0.7882207838116263,0.14903916170848844,0.7896933150792033,0.20170263065229677,0.8001403913440369,0.14633778097568675,0.8646357820465816,0.10969415448681705,0.8624755306306916,0.25405960392361415,0.713966036992561,0.27085916254090203,0.28603396300743905,0.270859162540902,0.1375244693693084,0.2540596039236141
baseline-advanced-and-fourier-min,0.7752003324973207,0.15617021574905302,0.9940033553515245,0.0068145456080689745,0.8318373625911022,0.12443105799716854,0.8134277044473526,0.14165993978271194,0.8623816414078741,0.10024567285879651,0.8325546643347637,0.12687787929551594,0.8911825347377769,0.07855101818433878,0.9940033553515245,0.0068145456080689745,0.6328520535431809,0.27978498007652114,0.36714794645681914,0.27978498007652103,0.005996644648475583,0.00681454560806897
baseline-and-advanced,0.765989239295038,0.1564477957641821,0.9921263016878171,0.009871271501285743,0.8221095369274461,0.1251758479447515,0.8015328213989364,0.14375617829553103,0.8556846625940356,0.10035257013868937,0.8239424428148181,0.12580599513944155,0.8846093217364771,0.07946294295697007,0.9921263016878171,0.009871271501285743,0.6109393411100558,0.2830448073500277,0.3890606588899443,0.2830448073500278,0.007873698312182844,0.009871271501285708
baseline-and-fourier,0.7700319417280489,0.1669628485823225,0.796779295917374,0.3350516612965475,0.7738640765696406,0.15799042741020564,0.7542447906984789,0.171292884634995,0.72741546355488,0.27654861086857235,0.7701360433559803,0.17036419742733142,0.8367182013801469,0.13916681969735295,0.796779295917374,0.3350516612965475,0.711710285479584,0.2791735461687776,0.2882897145204161,0.2791735461687776,0.20322070408262613,0.33505166129654756
baseline-and-fourier-min,0.7650961209826154,0.15943392409151905,0.9928836483953342,0.005475579833960482,0.8211741698212278,0.1310887723734819,0.8017964294698726,0.1487004464940004,0.854983610120482,0.10362471844825442,0.8688969969777691,0.11854012084832875,0.8820417721455467,0.11687610016070041,0.9928836483953342,0.005475579833960482,0.6107092105444109,0.29510406291047125,0.38929078945558915,0.2951040629104714,0.007116351604665746,0.005475579833960478
baseline-only,0.7658979478119382,0.1661713972330206,0.9342920653906562,0.10038302342415498,0.7952791948400049,0.13425016053617878,0.789239145808906,0.14408938488325726,0.8271987175404943,0.11043880845535224,0.8373982153496093,0.12930308452986158,0.8106068025360754,0.1561303146816397,0.9342920653906562,0.10038302342415498,0.6441862262271557,0.27555681783492453,0.3558137737728443,0.27555681783492453,0.06570793460934377,0.10038302342415495
fourier-min-only,0.7311780819528599,0.15827067419914093,0.9956212334847194,0.003740929488268567,0.7895539262240341,0.13547573657322265,0.7630037670850913,0.157737516518955,0.8338193746406181,0.10439940652279224,0.8374757870303432,0.1378586754587027,0.8525874398203326,0.14162476204242289,0.9956212334847194,0.003740929488268567,0.5303863006854631,0.31337569079618716,0.4696136993145369,0.31337569079618716,0.0043787665152804555,0.0037409294882685636
fourier-only,0.739340066577049,0.16770647274020128,0.8288486082839894,0.31376131386222367,0.7549049496343565,0.15169503729943584,0.7244217794331712,0.1706688425981234,0.7315457825719426,0.2479579918460314,0.7371881523162579,0.1668658767593679,0.8273467432835127,0.13021194820907755,0.8288486082839894,0.31376131386222367,0.6199949505823531,0.3159285363320312,0.38000504941764696,0.3159285363320313,0.1711513917160106,0.31376131386222367
