run_name,precision-mean,precision-std,recall-mean,recall-std,accuracy-mean,accuracy-std,balanced_accuracy-mean,balanced_accuracy-std,f1-mean,f1-std,roc_auc-mean,roc_auc-std,auc_pr-mean,auc_pr-std,tpr-mean,tpr-std,tnr-mean,tnr-std,fpr-mean,fpr-std,fnr-mean,fnr-std
advanced-and-fourier,0.9083888850565647,0.08783667159604139,0.9467469502106316,0.07758866108927981,0.9250490095524413,0.07437906538130616,0.9146527935461916,0.08766482460801978,0.9257373904924179,0.07664550901202849,0.9619871135137735,0.0495732664773885,0.9583733487433543,0.05429483320120257,0.9467469502106316,0.07758866108927981,0.8825586368817514,0.13796210517977578,0.11744136311824856,0.13796210517977572,0.05325304978936833,0.07758866108927978
advanced-and-fourier-min,0.9129942493600368,0.07967822931141319,0.9394333347206268,0.07109491114150113,0.925807023459132,0.06933385676491761,0.9174506348236734,0.07843944348424443,0.9254036686973603,0.07258214010101373,0.9651951999534645,0.04360042123516878,0.9624824860239545,0.0473304396733348,0.9394333347206268,0.07109491114150113,0.89546793492672,0.11097798019551906,0.10453206507327999,0.11097798019551895,0.06056666527937322,0.07109491114150118
advanced-only,0.8838561099682034,0.08618844858669661,0.9173371247641555,0.07793939468457305,0.8991938780798557,0.07496637649033112,0.8878172587952007,0.08443024110115438,0.8996993645851598,0.07965253814569574,0.9483596091665891,0.051443239411924274,0.9437608991524188,0.05688701781075035,0.9173371247641555,0.07793939468457305,0.8582973928262458,0.12087660073384204,0.1417026071737541,0.12087660073384206,0.08266287523584447,0.07793939468457306
baseline-advanced-and-fourier,0.9095880341801692,0.08701528380872926,0.9477082070796962,0.07600545206917919,0.926099673717283,0.07364237443730336,0.9158517816602623,0.08683322875279298,0.9268663064819851,0.07555246084628403,0.962887660541743,0.04864408767563121,0.9595374371812,0.052987920051173906,0.9477082070796962,0.07600545206917919,0.8839953562408281,0.1368432626195073,0.11600464375917181,0.13684326261950733,0.052291792920303844,0.0760054520691792
baseline-advanced-and-fourier-min,0.916670388719764,0.0773609785659969,0.9434573307949286,0.0690326066835576,0.9293537727406335,0.06740313567794705,0.9212069998128223,0.07665189487127111,0.9291989458894889,0.0700104479111204,0.967356014402767,0.04172930120172071,0.9650398572533818,0.044902190556197014,0.9434573307949286,0.0690326066835576,0.898956668830716,0.1097421592862014,0.10104333116928399,0.10974215928620133,0.05654266920507144,0.06903260668355762
baseline-and-advanced,0.8989401366575095,0.08051849483854129,0.9294246469559396,0.0730819694427548,0.9130333220165067,0.07011701948923145,0.9030537442486924,0.07956878296668932,0.9132749008471797,0.0738266378162473,0.9577775917169258,0.046379876987908464,0.9545272935489055,0.05031056585938748,0.9294246469559396,0.0730819694427548,0.8766828415414454,0.11477824005668522,0.12331715845855463,0.11477824005668523,0.07057535304406046,0.07308196944275486
baseline-and-fourier,0.870185138701863,0.11938111502517977,0.9387375493265988,0.09756761298832124,0.8968818029134006,0.1002430997958087,0.8803747039206805,0.12133348786896617,0.9007271071851769,0.10112966649144751,0.9337833319393323,0.08309369585310954,0.9279415475609106,0.0905143548845536,0.9387375493265988,0.09756761298832124,0.8220118585147622,0.2049774195101196,0.17798814148523778,0.20497741951011964,0.06126245067340117,0.0975676129883213
baseline-and-fourier-min,0.8795483471770325,0.11089431622914725,0.9311543110663074,0.08982502757002088,0.9012427357353745,0.09457896967302541,0.8879141945980699,0.1099189399204871,0.9032737091920999,0.0964745756084346,0.9402838839918203,0.07420064049996705,0.9347879100661424,0.08103212893174377,0.9311543110663074,0.08982502757002088,0.8446740781298322,0.1704166626610334,0.15532592187016778,0.1704166626610334,0.06884568893369253,0.08982502757002085
baseline-only,0.8581592671215902,0.11104274225802696,0.9015185634745817,0.09715958308000693,0.8765838096708567,0.09714984223227588,0.8614313872385996,0.11075949681419064,0.8783795644584931,0.10137002526003633,0.9236804944011571,0.08094553786667386,0.9165171035620734,0.08909596901070627,0.9015185634745817,0.09715958308000693,0.8213442110026176,0.16473603435471473,0.17865578899738246,0.1647360343547147,0.09848143652541824,0.09715958308000691
fourier-min,0.8181379455980058,0.14877042465760598,0.932640557241124,0.10306629244372471,0.8573659450433183,0.12510585578132796,0.8413712304207973,0.1397484564207165,0.8681426441665605,0.12163563418102409,0.8947033603735866,0.11901139055478618,0.8767155615884531,0.1409963349450412,0.932640557241124,0.10306629244372471,0.7501019036004705,0.22060729768369902,0.24989809639952953,0.220607297683699,0.06735944275887586,0.10306629244372476
fourier-only,0.8500249969483789,0.13729265152724085,0.9297051983361865,0.10944772025596444,0.8803750649626051,0.1172141054721626,0.8629532169647525,0.13594743574111331,0.8856419000344526,0.11783550057075597,0.9151783696101051,0.10613287843300334,0.9026063398413442,0.12599922377110684,0.9297051983361865,0.10944772025596444,0.7962012355933186,0.2183847116286536,0.20379876440668143,0.2183847116286536,0.07029480166381359,0.10944772025596441
