run_name,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
advanced-and-fourier,0.749066126007707,0.9276976732412403,0.7731294032196593,0.7720031223633436,0.8083670196677857,0.7807086069176097,0.8626783987083882,0.9276976732412403,0.6163085714854467,0.3836914285145532,0.0723023267587597
advanced-and-fourier-min,0.739693523060434,0.9680716328179758,0.7792220667621,0.7625138241219818,0.8237766392171986,0.7720864021482637,0.8654027713942293,0.9680716328179758,0.5569560154259876,0.4430439845740124,0.03192836718202412
advanced-only,0.7421990715275025,0.9573649865323739,0.7753414010401045,0.760855729809267,0.8187630218345345,0.770329135452503,0.8577545366609739,0.9573649865323739,0.5643464730861599,0.4356535269138402,0.042635013467625944
baseline-advanced-and-fourier,0.7520363404878164,0.9277593603569767,0.7759608945949851,0.7757126419373226,0.8101764077712226,0.7847242347497542,0.8644288513894387,0.9277593603569767,0.6236659235176684,0.37633407648233164,0.0722406396430233
baseline-advanced-and-fourier-min,0.7464777795069281,0.961959571541193,0.7808010536993724,0.7671925635888801,0.8230367866472541,0.7753504879520201,0.8664296341080473,0.961959571541193,0.5724255556365673,0.4275744443634328,0.038040428458806924
baseline-and-advanced,0.7454918768043229,0.9567010838790792,0.7781670404720289,0.7645972789230059,0.8204561157621717,0.7740753654527529,0.8586162666136652,0.9567010838790792,0.5724934739669326,0.4275065260330674,0.04329891612092091
baseline-and-fourier,0.7492361083410176,0.8862586002241577,0.7601696117112896,0.7667053480555867,0.7878050129582611,0.7791022389373548,0.854684808538543,0.8862586002241577,0.6471520958870156,0.3528479041129844,0.11374139977584236
baseline-and-fourier-min,0.7313818047424827,0.9912712648613883,0.7843401560019096,0.75516942542628,0.8318785713792709,0.8469992584755106,0.8590510299390757,0.9912712648613883,0.5190675859911716,0.4809324140088283,0.00872873513861169
baseline-only,0.757563802240711,0.9081616334317649,0.7787322684858317,0.7732895745289593,0.8069559126479454,0.8181234209915272,0.7911177321769537,0.9081616334317649,0.6384175156261538,0.3615824843738462,0.09183836656823513
fourier-min,0.7125893396520075,0.9944174541389619,0.7658588842785072,0.7314744047738435,0.8204028670863032,0.836070178557943,0.8408201258467768,0.9944174541389619,0.4685313554087249,0.5314686445912751,0.005582545861038038
fourier-only,0.7370838676096187,0.8861719111488691,0.7508727099218341,0.7555838962616047,0.7816018464595625,0.7643036797291065,0.8472198772800094,0.8861719111488691,0.6249958813743401,0.3750041186256598,0.11382808885113088
