run_name,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
advanced-and-fourier,0.8477396534449338,0.8438038624355051,0.8514900814318465,0.838587571653218,0.8424010375780167,0.8885431070060776,0.8886901458730895,0.8438038624355051,0.8333712808709307,0.16662871912906926,0.15619613756449485
advanced-and-fourier-min,0.8812960634169281,0.9217977463190029,0.8996612330716397,0.8881849396310849,0.900596574336008,0.9352035205743733,0.9325333531284064,0.9217977463190029,0.8545721329431668,0.1454278670568332,0.0782022536809971
advanced-only,0.862146774303253,0.89910041063073,0.8787134019016908,0.8655068311364567,0.8798994079438147,0.9212484159878629,0.9191578938792015,0.89910041063073,0.8319132516421833,0.16808674835781662,0.1008995893692701
baseline-advanced-and-fourier,0.846510686152467,0.8650192997452391,0.8560080099182068,0.8416362072267566,0.8545948123188665,0.8899251445564837,0.8902011083228106,0.8650192997452391,0.818253114708274,0.18174688529172597,0.13498070025476103
baseline-advanced-and-fourier-min,0.882337546008312,0.9233094939270897,0.9006383151126492,0.889185619026572,0.9018291610405075,0.9356307503719599,0.9332359903111105,0.9233094939270897,0.8550617441260544,0.14493825587394552,0.07669050607291036
baseline-and-advanced,0.8682052774997272,0.909034446754367,0.8864146926120264,0.8738014975016548,0.8877626367719271,0.9269052663349885,0.9246070719170246,0.909034446754367,0.8385685482489426,0.1614314517510574,0.09096555324563295
baseline-and-fourier,0.8264018059350234,0.8730869489227098,0.8469188867313592,0.8287323399108685,0.8480656868697771,0.8763096707985126,0.8716825724945957,0.8730869489227098,0.7843777308990272,0.21562226910097276,0.1269130510772903
baseline-and-fourier-min,0.8493338621702159,0.8929051086510473,0.8692538762601265,0.8546938593265311,0.8700236986571499,0.9049542070023666,0.8998648384484608,0.8929051086510473,0.8164826100020147,0.18351738999798528,0.10709489134895261
baseline-only,0.8247696689898322,0.8652903881347372,0.8425555112765301,0.8253907055185573,0.8441391977730722,0.8838649411272866,0.8786792376172958,0.8652903881347372,0.7854910229023775,0.21450897709762248,0.1347096118652628
fourier-min,0.8187477869040285,0.8592873005866506,0.8381582927732915,0.8215965388308047,0.8380738158261237,0.8732683627119531,0.8609823017715011,0.8592873005866506,0.7839057770749591,0.21609422292504088,0.1407126994133495
fourier-only,0.820155567068203,0.8502694052808484,0.8361022302173423,0.816669018004046,0.8333509079517007,0.8673290141951874,0.8609625244230623,0.8502694052808484,0.7830686307272435,0.21693136927275647,0.14973059471915154
