run_name,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
advanced-and-fourier,0.8489318534178408,0.9436705153667341,0.883416973941745,0.8687031427416091,0.8899557012879481,0.928993423484419,0.9152268134521611,0.9436705153667341,0.793735770116484,0.20626422988351598,0.05632948463326592
advanced-and-fourier-min,0.8379679706735094,0.9340756692421266,0.8733638505483018,0.8571583180854174,0.8797679550762822,0.9204132418374656,0.9048440458263465,0.9340756692421266,0.7802409669287081,0.21975903307129188,0.06592433075787338
advanced-only,0.8070277648700702,0.9143963229585285,0.8421492076704794,0.8192159132322444,0.8515353743278629,0.8961666924565401,0.8848438411066875,0.9143963229585285,0.7240355035059602,0.2759644964940398,0.08560367704147154
baseline-advanced-and-fourier,0.8497226421050796,0.944462789423004,0.8843228177984142,0.8696994404987334,0.8908708377328762,0.9302650645072282,0.9171454003738226,0.944462789423004,0.7949360915744628,0.2050639084255372,0.055537210576995996
baseline-advanced-and-fourier-min,0.8392564831734823,0.9349599465633657,0.8746869936445707,0.8586425074544765,0.8810027013770578,0.9220227499353144,0.9075544171768608,0.9349599465633657,0.7823250683455872,0.2176749316544127,0.06504005343663431
baseline-and-advanced,0.8074205333240247,0.9164159103398658,0.8437349579720205,0.8208028727056244,0.8534788353959365,0.8987479754400116,0.8877094026068779,0.9164159103398658,0.7251898350713829,0.27481016492861715,0.08358408966013414
baseline-and-fourier,0.8126502240438004,0.9363122562324658,0.8554443762111273,0.8394040406971645,0.8658079474991874,0.8988406110547669,0.8789408588332954,0.9363122562324658,0.7424958251618632,0.25750417483813687,0.06368774376753424
baseline-and-fourier-min,0.7867287936414716,0.9190160424889198,0.8320871117434855,0.8127574549342027,0.8438226354411819,0.8766920102024661,0.8546940661554877,0.9190160424889198,0.7064988673794854,0.2935011326205145,0.08098395751108022
baseline-only,0.7279544815180193,0.9211751426209883,0.7781283460355943,0.7561922405411332,0.8043358079436782,0.8091256979954842,0.7646542408841971,0.9211751426209883,0.5912093384612781,0.40879066153872184,0.07882485737901174
fourier-min-only,0.763249816833738,0.9100863993187703,0.8103184429533609,0.7906833075388962,0.8260184951177513,0.8497629568292668,0.821225323814221,0.9100863993187703,0.6712802157590221,0.328719784240978,0.08991360068122968
fourier-only,0.7916125037054912,0.9183859879964219,0.8336263179147863,0.8169369872898223,0.8456816664230244,0.8752324556733111,0.8495155140082042,0.9183859879964219,0.7154879865832228,0.28451201341677723,0.08161401200357814
