run_name,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
advanced-and-fourier,0.8545523227992559,0.9417401710429721,0.8866259672418573,0.8711774719287172,0.8923397778703357,0.9289628997069627,0.9161808160930701,0.9417401710429721,0.8006147728144624,0.1993852271855377,0.058259828957027866
advanced-and-fourier-min,0.8400573456611985,0.9266846997101748,0.8719785455148623,0.8544386664439405,0.8776641403007516,0.9179562588204548,0.9040456487815742,0.9266846997101748,0.7821926331777062,0.2178073668222938,0.07331530028982522
advanced-only,0.8017774957269782,0.8989037961245507,0.8350234948299656,0.8091143917936381,0.8411884017931386,0.8858100937591128,0.8723601957120722,0.8989037961245507,0.7193249874627256,0.2806750125372745,0.10109620387544922
baseline-advanced-and-fourier,0.8567541925912276,0.9428885063513297,0.8886717405608571,0.8733993484857425,0.8942497353954189,0.9312679532776962,0.9197771532630701,0.9428885063513297,0.8039101906201552,0.1960898093798447,0.05711149364867029
baseline-advanced-and-fourier-min,0.8419923389854272,0.9286194160070178,0.8741659341270684,0.8568226089501643,0.879833056968402,0.9198867937068069,0.9067641952022404,0.9286194160070178,0.7850258018933108,0.21497419810668927,0.0713805839929822
baseline-and-advanced,0.8035809415125247,0.9032857046540348,0.8386548888678147,0.8130574230357307,0.8452542836067298,0.8909975638686379,0.8790915912497154,0.9032857046540348,0.7228291414174267,0.2771708585825733,0.09671429534596525
baseline-and-fourier,0.829504332610147,0.9338696379967112,0.8665275541187965,0.8500188629692826,0.8749856431385371,0.9058033202774064,0.8889855814564231,0.9338696379967112,0.7661680879418542,0.23383191205814585,0.06613036200328883
baseline-and-fourier-min,0.8017474813179412,0.9150816635404957,0.842010439414667,0.8218059920338973,0.8516511445097475,0.8797944431267125,0.8590184944584369,0.9150816635404957,0.728530320527299,0.27146967947270106,0.08491833645950433
baseline-only,0.7472199978807477,0.9092170428512988,0.7924917924045402,0.7665949825725823,0.8140594424255027,0.8194209210043396,0.7778181493587762,0.9092170428512988,0.6239729222938658,0.37602707770613414,0.09078295714870123
fourier-min,0.7761754150231833,0.8943128968381121,0.8169803851170153,0.7945218136963711,0.8280111546321496,0.8487113219943885,0.8190099115073026,0.8943128968381121,0.6947307305546301,0.3052692694453699,0.10568710316188792
fourier-only,0.8037545670965079,0.9163817139246917,0.8420770910686105,0.8241777506318806,0.8526703358523882,0.8799826055125096,0.8546940496567715,0.9163817139246917,0.7319737873390693,0.26802621266093063,0.08361828607530834
