run_name,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
advanced-and-fourier,0.8561027133053979,0.9366276709658462,0.8807152646476288,0.8638300729150905,0.882853336493058,0.9290548615648024,0.9200310377368633,0.9366276709658462,0.7910324748643347,0.20896752513566522,0.06337232903415377
advanced-and-fourier-min,0.8483355873472216,0.936967998164172,0.8791327907151005,0.8630195544488531,0.8822583832923121,0.9312128769572809,0.920187074735635,0.936967998164172,0.7890711107335341,0.21092888926646586,0.06303200183582802
advanced-only,0.8164043094765816,0.8987479424721172,0.8409612180166427,0.8190236301411655,0.8409969504804867,0.9002129976978182,0.8868302328035098,0.8987479424721172,0.7392993178102137,0.26070068218978626,0.10125205752788273
baseline-advanced-and-fourier,0.8567038082405996,0.9429602904786268,0.8839240456278356,0.8703661890746823,0.8879776936819862,0.9318198830343405,0.9236920951999026,0.9429602904786268,0.7977720876707378,0.20222791232926213,0.05703970952137315
baseline-advanced-and-fourier-min,0.8539181274051804,0.9290658134046983,0.8802679309642274,0.8645447383445872,0.8805680769451082,0.9337244916107784,0.9237660193608817,0.9290658134046983,0.800023663284476,0.199976336715524,0.07093418659530164
baseline-and-advanced,0.8182134501233266,0.9083906141581732,0.8473806956225169,0.8263623110445081,0.8507849941993293,0.9057377699078699,0.8937455952207266,0.9083906141581732,0.7443340079308428,0.25566599206915713,0.09160938584182678
baseline-and-fourier,0.8497772171725713,0.9320590809777575,0.875342312269204,0.8565544273444667,0.8788455217047785,0.9182036422310675,0.9085151163134902,0.9320590809777575,0.781049773711176,0.218950226288824,0.06794091902224249
baseline-and-fourier-min,0.8365654787965576,0.9224585912222827,0.86739598496455,0.8479880877088193,0.8706209546544674,0.9106604877294845,0.8999182252071782,0.9224585912222827,0.7735175841953559,0.22648241580464412,0.0775414087777173
baseline-only,0.79240360152109,0.9063291502056114,0.8296868940151074,0.8055377944848144,0.8391022011443879,0.8766178358684795,0.8589863092894023,0.9063291502056114,0.7047464387640174,0.2952535612359825,0.09367084979438856
fourier-min-only,0.795462559320835,0.9510312634010611,0.8414526741450827,0.8224600615469048,0.8597402235419045,0.8766203769741234,0.8509920534668537,0.9510312634010611,0.6938888596927482,0.3061111403072519,0.048968736598938786
fourier-only,0.8285477342542964,0.9574210763541511,0.8613579519476878,0.8458024610194781,0.878201722066783,0.8956891364175233,0.8797011521667306,0.9574210763541511,0.7341838456848051,0.265816154315195,0.04257892364584889

