run_name,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
advanced-and-fourier,0.7933808284173396,0.8602663359898869,0.8010496641480304,0.786366860921304,0.788527773802182,0.7984811006516224,0.8637740485066154,0.8602663359898869,0.7124673858527212,0.2875326141472788,0.13973366401011314
advanced-and-fourier-min,0.7743715262009588,0.9949790563294806,0.831287897799726,0.8122657508346584,0.8621906463013844,0.8316120176722118,0.8909220906811659,0.9949790563294806,0.6295524453398363,0.37044755466016366,0.005020943670519515
advanced-only,0.7662819779715888,0.9907322581032757,0.8217655504691552,0.8011015213068896,0.8553288495455216,0.823551712708898,0.8842585519097618,0.9907322581032757,0.6114707845105036,0.3885292154894964,0.00926774189672433
baseline-advanced-and-fourier,0.7944368661590866,0.8624755306306916,0.8027384578978661,0.7882207838116263,0.7896933150792033,0.8001403913440369,0.8646357820465816,0.8624755306306916,0.713966036992561,0.28603396300743905,0.1375244693693084
baseline-advanced-and-fourier-min,0.7752003324973207,0.9940033553515245,0.8318373625911022,0.8134277044473526,0.8623816414078741,0.8325546643347637,0.8911825347377769,0.9940033553515245,0.6328520535431809,0.36714794645681914,0.005996644648475583
baseline-and-advanced,0.765989239295038,0.9921263016878171,0.8221095369274461,0.8015328213989364,0.8556846625940356,0.8239424428148181,0.8846093217364771,0.9921263016878171,0.6109393411100558,0.3890606588899443,0.007873698312182844
baseline-and-fourier,0.7700319417280489,0.796779295917374,0.7738640765696406,0.7542447906984789,0.72741546355488,0.7701360433559803,0.8367182013801469,0.796779295917374,0.711710285479584,0.2882897145204161,0.20322070408262613
baseline-and-fourier-min,0.7650961209826154,0.9928836483953342,0.8211741698212278,0.8017964294698726,0.854983610120482,0.8688969969777691,0.8820417721455467,0.9928836483953342,0.6107092105444109,0.38929078945558915,0.007116351604665746
baseline-only,0.7658979478119382,0.9342920653906562,0.7952791948400049,0.789239145808906,0.8271987175404943,0.8373982153496093,0.8106068025360754,0.9342920653906562,0.6441862262271557,0.3558137737728443,0.06570793460934377
fourier-min-only,0.7311780819528599,0.9956212334847194,0.7895539262240341,0.7630037670850913,0.8338193746406181,0.8374757870303432,0.8525874398203326,0.9956212334847194,0.5303863006854631,0.4696136993145369,0.0043787665152804555
fourier-only,0.739340066577049,0.8288486082839894,0.7549049496343565,0.7244217794331712,0.7315457825719426,0.7371881523162579,0.8273467432835127,0.8288486082839894,0.6199949505823531,0.38000504941764696,0.1711513917160106
