run_name,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
advanced-and-fourier,0.9083888850565647,0.9467469502106316,0.9250490095524413,0.9146527935461916,0.9257373904924179,0.9619871135137735,0.9583733487433543,0.9467469502106316,0.8825586368817514,0.11744136311824856,0.05325304978936833
advanced-and-fourier-min,0.9129942493600368,0.9394333347206268,0.925807023459132,0.9174506348236734,0.9254036686973603,0.9651951999534645,0.9624824860239545,0.9394333347206268,0.89546793492672,0.10453206507327999,0.06056666527937322
advanced-only,0.8838561099682034,0.9173371247641555,0.8991938780798557,0.8878172587952007,0.8996993645851598,0.9483596091665891,0.9437608991524188,0.9173371247641555,0.8582973928262458,0.1417026071737541,0.08266287523584447
baseline-advanced-and-fourier,0.9095880341801692,0.9477082070796962,0.926099673717283,0.9158517816602623,0.9268663064819851,0.962887660541743,0.9595374371812,0.9477082070796962,0.8839953562408281,0.11600464375917181,0.052291792920303844
baseline-advanced-and-fourier-min,0.916670388719764,0.9434573307949286,0.9293537727406335,0.9212069998128223,0.9291989458894889,0.967356014402767,0.9650398572533818,0.9434573307949286,0.898956668830716,0.10104333116928399,0.05654266920507144
baseline-and-advanced,0.8989401366575095,0.9294246469559396,0.9130333220165067,0.9030537442486924,0.9132749008471797,0.9577775917169258,0.9545272935489055,0.9294246469559396,0.8766828415414454,0.12331715845855463,0.07057535304406046
baseline-and-fourier,0.870185138701863,0.9387375493265988,0.8968818029134006,0.8803747039206805,0.9007271071851769,0.9337833319393323,0.9279415475609106,0.9387375493265988,0.8220118585147622,0.17798814148523778,0.06126245067340117
baseline-and-fourier-min,0.8795483471770325,0.9311543110663074,0.9012427357353745,0.8879141945980699,0.9032737091920999,0.9402838839918203,0.9347879100661424,0.9311543110663074,0.8446740781298322,0.15532592187016778,0.06884568893369253
baseline-only,0.8581592671215902,0.9015185634745817,0.8765838096708567,0.8614313872385996,0.8783795644584931,0.9236804944011571,0.9165171035620734,0.9015185634745817,0.8213442110026176,0.17865578899738246,0.09848143652541824
fourier-min,0.8181379455980058,0.932640557241124,0.8573659450433183,0.8413712304207973,0.8681426441665605,0.8947033603735866,0.8767155615884531,0.932640557241124,0.7501019036004705,0.24989809639952953,0.06735944275887586
fourier-only,0.8500249969483789,0.9297051983361865,0.8803750649626051,0.8629532169647525,0.8856419000344526,0.9151783696101051,0.9026063398413442,0.9297051983361865,0.7962012355933186,0.20379876440668143,0.07029480166381359
