run_name,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
advanced-and-fourier,0.07748837503022224,0.0930096538411307,0.07791492206843481,0.08507940993939894,0.0841477602237019,0.05245464191791937,0.056465957371376954,0.0930096538411307,0.09848885092932738,0.0984888509293274,0.09300965384113077
advanced-and-fourier-min,0.07382867892487983,0.08759292307266033,0.07364053263094487,0.08005390077582841,0.07988214236283349,0.04854057941396718,0.05165166396090847,0.08759292307266033,0.09171741266271398,0.0917174126627139,0.08759292307266026
advanced-only,0.08397238487207959,0.09768307938102101,0.08154905100407832,0.08862546522800105,0.09008319710751171,0.058446894760042584,0.06375523407901827,0.09768307938102101,0.10596030161369523,0.105960301613695,0.0976830793810211
baseline-advanced-and-fourier,0.07649774238869024,0.0913208338096811,0.07670761989567902,0.08382403461531931,0.08269738235720654,0.05142144555166453,0.05528817317401336,0.0913208338096811,0.0975530684289354,0.09755306842893542,0.09132083380968105
baseline-advanced-and-fourier-min,0.07167102265632969,0.08487540267250573,0.07189184716191936,0.07819837349274468,0.07727432298371832,0.0467583877816293,0.04957972809754317,0.08487540267250573,0.09019873336293466,0.09019873336293475,0.0848754026725057
baseline-and-advanced,0.07733872486933074,0.09092724735118914,0.07624742653799801,0.08315069668704546,0.08313006191499124,0.052916554695831376,0.05626339031619864,0.09092724735118914,0.09886290073477269,0.09886290073477266,0.09092724735118901
baseline-and-fourier,0.10960544628981796,0.12878818557582003,0.10795934450896753,0.11916221941169894,0.11804966553964423,0.08692180917603738,0.0940516845623681,0.12878818557582003,0.14429043724282825,0.14429043724282825,0.12878818557582003
baseline-and-fourier-min,0.10870266760523949,0.122180489186429,0.10540139522400489,0.11596612436728525,0.11431899354875351,0.0839309113448235,0.09112955749635974,0.122180489186429,0.1410987578820687,0.1410987578820686,0.12218048918642893
baseline-only,0.10993130851679679,0.12266726777270913,0.10534545121353135,0.11528315347948875,0.11539114986722783,0.08779628861826931,0.095507445334059,0.12266726777270913,0.1421815126200639,0.14218151262006387,0.12266726777270918
fourier-min,0.1466041183841319,0.16384116156737075,0.1367118859535359,0.14767324981968644,0.15479047652678657,0.12608797470577765,0.14763441644109743,0.16384116156737075,0.1704374019537197,0.17043740195371979,0.16384116156737072
fourier-only,0.13682967404133975,0.15850973134517057,0.1303968276362338,0.1420077773012677,0.14695590915427661,0.1161197704858378,0.13539918882689816,0.15850973134517057,0.16465100448070155,0.16465100448070158,0.15850973134517052
