run_name,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
advanced-and-fourier,0.14399831969937438,0.19036774710336016,0.1472632270356674,0.15715807941173254,0.1682890463338292,0.13798923421473727,0.135972892370758,0.19036774710336016,0.1665567404380002,0.16655674043800023,0.19036774710336
advanced-and-fourier-min,0.09980638204922922,0.0818955522287487,0.08694444628325543,0.09786383842458328,0.08961598856127333,0.06783574452065293,0.07180848774483463,0.0818955522287487,0.1389832998016177,0.13898329980161775,0.08189555222874861
advanced-only,0.09857467903865855,0.08526386308426731,0.08697166034065035,0.09674894064130282,0.09103740293830453,0.06907948191703053,0.07307445835857618,0.08526386308426731,0.13563783544181046,0.13563783544181046,0.0852638630842674
baseline-advanced-and-fourier,0.1435172985614962,0.15602764652373036,0.142104884982499,0.1547848690749119,0.14862237989749208,0.13704958529768846,0.1341866622868317,0.15602764652373036,0.18816436771596529,0.18816436771596523,0.15602764652373033
baseline-advanced-and-fourier-min,0.10091473707041297,0.08130641759726917,0.08798746541362465,0.0992878019665819,0.08994401021744339,0.06944537773427274,0.0730736806285195,0.08130641759726917,0.14213101740482995,0.14213101740482997,0.08130641759726918
baseline-and-advanced,0.09816639234225148,0.08032248295327139,0.0851547611297298,0.09512342966097946,0.08848080922804509,0.06809430804162603,0.07251788319652343,0.08032248295327139,0.13557030870992462,0.13557030870992479,0.0803224829532713
baseline-and-fourier,0.14957479536735588,0.14291833971434242,0.1385829723718702,0.15213076934954495,0.1436944982124603,0.13714049401652167,0.1462781481187663,0.14291833971434242,0.2042496783308958,0.20424967833089575,0.1429183397143425
baseline-and-fourier-min,0.12879150004829867,0.11406360517562728,0.11597272079354849,0.12863369298395302,0.1204152584047486,0.10313611854164458,0.11118161312337618,0.11406360517562728,0.17543151281006705,0.17543151281006705,0.11406360517562732
baseline-only,0.1288047111761281,0.11664415112045173,0.11638850544630859,0.12829591039119653,0.12201214186259417,0.1080675817822567,0.11663635471427462,0.11664415112045173,0.17601226903964073,0.17601226903964073,0.11664415112045187
fourier-min,0.15146857101407493,0.1405654596026482,0.13689339856276125,0.1486708348176892,0.14527594172367767,0.1296729739390279,0.14759246159312833,0.1405654596026482,0.1919399031917807,0.1919399031917807,0.1405654596026482
fourier-only,0.15663684025855565,0.15838719269064494,0.14318142139488557,0.15585458628533108,0.15333642639137948,0.14335119233939497,0.15743439651433166,0.15838719269064494,0.20443479079097865,0.2044347907909787,0.15838719269064488
