run_name,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
advanced-and-fourier,0.11688934895086317,0.08339284239949321,0.09099953991943119,0.10856600542503275,0.09014293935442522,0.07167899168544573,0.09144597896106763,0.08339284239949321,0.19314157626406148,0.19314157626406153,0.08339284239949327
advanced-and-fourier-min,0.11633856852022025,0.08945513012322083,0.09243998231929927,0.10933009143623816,0.09334181277768376,0.07429349000892452,0.09413300116351932,0.08945513012322083,0.19273939854790553,0.1927393985479056,0.08945513012322076
advanced-only,0.12466455079043957,0.11478033601319279,0.10127041783967641,0.1216843712216539,0.10583060678662891,0.08402121055072241,0.09736662626506486,0.11478033601319279,0.2228718856820946,0.22287188568209448,0.11478033601319275
baseline-advanced-and-fourier,0.116202795782295,0.08144969630501829,0.0902257647507006,0.10778244291007039,0.08914759508301824,0.07078167172907343,0.08993038988529392,0.08144969630501829,0.19175630561648577,0.1917563056164857,0.08144969630501822
baseline-advanced-and-fourier-min,0.11565510973169772,0.08779425920841205,0.09172336410252466,0.10850600752811317,0.0924909617455869,0.07359564073084812,0.09351283147883818,0.08779425920841205,0.1911468841903498,0.19114688419034964,0.08779425920841209
baseline-and-advanced,0.12331060860973816,0.1090499458743795,0.10030723656348747,0.1207419923166534,0.10358096263594103,0.08241712893582231,0.09559358730658755,0.1090499458743795,0.22060670600553148,0.2206067060055313,0.10904994587437952
baseline-and-fourier,0.13333968669149052,0.07813670928020619,0.1026670090038754,0.12039082593213912,0.09963808285845373,0.0978391165395041,0.11926106796540531,0.07813670928020619,0.21730385670916721,0.21730385670916724,0.0781367092802062
baseline-and-fourier-min,0.13559130237780845,0.09274074206413999,0.10816167682905367,0.12512649009137344,0.10742396108655257,0.1063058695002656,0.12839612025525238,0.09274074206413999,0.22059034573221145,0.22059034573221145,0.09274074206413993
baseline-only,0.1446972539948336,0.12700135123399156,0.11812922429499294,0.13757162717429242,0.11785455746379558,0.12987992878650928,0.17249396679959644,0.12700135123399156,0.24862893562926558,0.2486289356292656,0.12700135123399162
fourier-min-only,0.1528613795849136,0.10665155131272291,0.1283883645024766,0.14121956541551733,0.125612186948422,0.13416815101961166,0.16610506256650404,0.10665155131272291,0.2328588817004686,0.2328588817004686,0.10665155131272296
fourier-only,0.15120367746039784,0.1050963781020175,0.12384456617666365,0.13756263539687935,0.12180485438577324,0.12203928371530523,0.15327870177515168,0.1050963781020175,0.2294845428777541,0.2294845428777538,0.10509637810201748
