run_name,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
advanced-and-fourier,0.1188125359245801,0.08883516721582918,0.09399764480441081,0.11478157205323496,0.09395162862517199,0.07678034964621226,0.0920366946992909,0.08883516721582918,0.2035980514661729,0.2035980514661727,0.08883516721582924
advanced-and-fourier-min,0.11883598100223997,0.09502755778106396,0.09581293912402486,0.11577255044879191,0.09761547573737164,0.08008321656569171,0.09964683025243118,0.09502755778106396,0.2052777090679649,0.2052777090679648,0.09502755778106388
advanced-only,0.12782120537347774,0.139367153736011,0.10739292064841591,0.1298202678263182,0.12034570635366211,0.09346855495826945,0.1108771375977713,0.139367153736011,0.2329394122573631,0.23293941225736287,0.139367153736011
baseline-advanced-and-fourier,0.11707500233863591,0.08709159854916272,0.09285703464094638,0.11371124101948382,0.09245015050749536,0.07584529285368265,0.08944596630546654,0.08709159854916272,0.2014613676293203,0.2014613676293203,0.08709159854916268
baseline-advanced-and-fourier-min,0.11783011958851439,0.09286032045748925,0.09515205669763906,0.11521788314473722,0.09651663349178154,0.07903310057752155,0.09763160329029158,0.09286032045748925,0.2039555990119647,0.20395559901196464,0.09286032045748924
baseline-and-advanced,0.12614034561942672,0.13279991789037104,0.10632260524050352,0.12859059354006538,0.1176476885613524,0.0901868336966788,0.10646213003973103,0.13279991789037104,0.2293211687648951,0.22932116876489514,0.1327999178903711
baseline-and-fourier,0.1319674778606059,0.08264299405215812,0.1049699225997455,0.12542735544800904,0.10173012681847639,0.09830410493254292,0.11589002498241967,0.08264299405215812,0.2220642374917308,0.22206423749173082,0.08264299405215816
baseline-and-fourier-min,0.13877899681761402,0.09568681961888226,0.11342711507522268,0.1321308779923805,0.11328576643328732,0.10818105956066897,0.12889340007993336,0.09568681961888226,0.22806429321018107,0.22806429321018112,0.09568681961888229
baseline-only,0.14429009270797893,0.12131627323159154,0.12342933634500934,0.14655682164792544,0.12108899992046923,0.1287794290793261,0.15968930888409733,0.12131627323159154,0.25829535354043826,0.2582953535404382,0.12131627323159169
fourier-min,0.16032368696652458,0.11795953522813904,0.13425299059203732,0.1497656574005378,0.13657028816928574,0.13587356990908672,0.16849088431705417,0.11795953522813904,0.2452265183129536,0.2452265183129538,0.11795953522813905
fourier-only,0.1539049724700635,0.10315303808842576,0.1271034844479601,0.1435451497941025,0.12521659754180264,0.12291631224301544,0.15413531284938134,0.10315303808842576,0.23835197277646894,0.23835197277646888,0.10315303808842567
