run_name,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
advanced-and-fourier,0.13450771391538516,0.13995152089288412,0.11129605527422241,0.13175461785662196,0.12712197534052544,0.08879606303527093,0.09720862787086254,0.13995152089288412,0.23636422919539032,0.23636422919539032,0.13995152089288418
advanced-and-fourier-min,0.12337952165274638,0.12229735681438267,0.09630156122236547,0.11514552578445944,0.11181451224212713,0.07247777416545441,0.08354491866009091,0.12229735681438267,0.204786488536968,0.20478648853696788,0.1222973568143827
advanced-only,0.1279517825086539,0.16844036467190102,0.10427405070981352,0.12441026891408287,0.1378061554062575,0.08513173886696883,0.11012308505462828,0.16844036467190102,0.2230595195097353,0.22305951950973538,0.16844036467190107
baseline-advanced-and-fourier,0.13256312376866716,0.12383101064241507,0.10738115411771289,0.12522710412090715,0.1186195256611994,0.08502422777458121,0.09144157848855218,0.12383101064241507,0.22342420837951615,0.22342420837951607,0.1238310106424151
baseline-advanced-and-fourier-min,0.11929368714156453,0.1384728755588991,0.09672236126353821,0.11521951988996432,0.11668766498477799,0.07032629160869325,0.08080495230081752,0.1384728755588991,0.19955348505017376,0.1995534850501737,0.13847287555889912
baseline-and-advanced,0.12405584296919475,0.14786270534041504,0.10046297993232137,0.1198491237759578,0.12069325171661217,0.0810251015990862,0.10106311984954906,0.14786270534041504,0.21560753544579708,0.2156075354457971,0.147862705340415
baseline-and-fourier,0.1347390815130076,0.1387633155450859,0.11272146191574767,0.1359881518985078,0.12283849745807077,0.09683919394989579,0.10829709120753046,0.1387633155450859,0.24481143366964936,0.24481143366964933,0.13876331554508592
baseline-and-fourier-min,0.1294297836301098,0.13018275480365446,0.10742742296332751,0.1292273934038374,0.11925589091558839,0.09466945532147256,0.10369020759740405,0.13018275480365446,0.22447296263367336,0.2244729626336734,0.13018275480365446
baseline-only,0.1323076726023646,0.13144085424898272,0.111844337311141,0.1336759341866098,0.11997564845009938,0.10716759572562033,0.1183804389152581,0.13144085424898272,0.2405512864875356,0.24055128648753565,0.13144085424898275
fourier-min-only,0.1553585685420298,0.08958375894346092,0.12713931565215797,0.14667920669920845,0.11794648840790904,0.12360865619545126,0.1498204556984377,0.08958375894346092,0.2672150090605948,0.2672150090605949,0.08958375894346096
fourier-only,0.15957427589114861,0.09249302561152105,0.13298903222383346,0.1503342041557641,0.1189938310529628,0.12807364879831062,0.15253495117459917,0.09249302561152105,0.2832979171840494,0.2832979171840494,0.09249302561152109

