run_name,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
advanced-and-fourier,0.1616188910360569,0.25237752324496976,0.13259433285546512,0.14807791295697464,0.2002466845772864,0.14595798621884765,0.10997163235295232,0.25237752324496976,0.26930933417407404,0.269309334174074,0.2523775232449698
advanced-and-fourier-min,0.1562245295568959,0.004516590514241809,0.12465653812192284,0.14234909593857206,0.10022887086394663,0.1273459938913242,0.07855057847140158,0.004516590514241809,0.282174869471115,0.282174869471115,0.0045165905142418045
advanced-only,0.15625704480615962,0.014416438992799476,0.12485836456394041,0.1438852151196958,0.10013714998552009,0.12605537372607192,0.07949908408751737,0.014416438992799476,0.28420895255414413,0.28420895255414413,0.014416438992799489
baseline-advanced-and-fourier,0.16193332963588544,0.25405960392361415,0.1343285191341344,0.14903916170848844,0.20170263065229677,0.14633778097568675,0.10969415448681705,0.25405960392361415,0.27085916254090203,0.270859162540902,0.2540596039236141
baseline-advanced-and-fourier-min,0.15617021574905302,0.0068145456080689745,0.12443105799716854,0.14165993978271194,0.10024567285879651,0.12687787929551594,0.07855101818433878,0.0068145456080689745,0.27978498007652114,0.27978498007652103,0.00681454560806897
baseline-and-advanced,0.1564477957641821,0.009871271501285743,0.1251758479447515,0.14375617829553103,0.10035257013868937,0.12580599513944155,0.07946294295697007,0.009871271501285743,0.2830448073500277,0.2830448073500278,0.009871271501285708
baseline-and-fourier,0.1669628485823225,0.3350516612965475,0.15799042741020564,0.171292884634995,0.27654861086857235,0.17036419742733142,0.13916681969735295,0.3350516612965475,0.2791735461687776,0.2791735461687776,0.33505166129654756
baseline-and-fourier-min,0.15943392409151905,0.005475579833960482,0.1310887723734819,0.1487004464940004,0.10362471844825442,0.11854012084832875,0.11687610016070041,0.005475579833960482,0.29510406291047125,0.2951040629104714,0.005475579833960478
baseline-only,0.1661713972330206,0.10038302342415498,0.13425016053617878,0.14408938488325726,0.11043880845535224,0.12930308452986158,0.1561303146816397,0.10038302342415498,0.27555681783492453,0.27555681783492453,0.10038302342415495
fourier-min-only,0.15827067419914093,0.003740929488268567,0.13547573657322265,0.157737516518955,0.10439940652279224,0.1378586754587027,0.14162476204242289,0.003740929488268567,0.31337569079618716,0.31337569079618716,0.0037409294882685636
fourier-only,0.16770647274020128,0.31376131386222367,0.15169503729943584,0.1706688425981234,0.2479579918460314,0.1668658767593679,0.13021194820907755,0.31376131386222367,0.3159285363320312,0.3159285363320313,0.31376131386222367
