run_name,precision,recall,accuracy,balanced_accuracy,f1,roc_auc,auc_pr,tpr,tnr,fpr,fnr
advanced-and-fourier,0.08783667159604139,0.07758866108927981,0.07437906538130616,0.08766482460801978,0.07664550901202849,0.0495732664773885,0.05429483320120257,0.07758866108927981,0.13796210517977578,0.13796210517977572,0.07758866108927978
advanced-and-fourier-min,0.07967822931141319,0.07109491114150113,0.06933385676491761,0.07843944348424443,0.07258214010101373,0.04360042123516878,0.0473304396733348,0.07109491114150113,0.11097798019551906,0.11097798019551895,0.07109491114150118
advanced-only,0.08618844858669661,0.07793939468457305,0.07496637649033112,0.08443024110115438,0.07965253814569574,0.051443239411924274,0.05688701781075035,0.07793939468457305,0.12087660073384204,0.12087660073384206,0.07793939468457306
baseline-advanced-and-fourier,0.08701528380872926,0.07600545206917919,0.07364237443730336,0.08683322875279298,0.07555246084628403,0.04864408767563121,0.052987920051173906,0.07600545206917919,0.1368432626195073,0.13684326261950733,0.0760054520691792
baseline-advanced-and-fourier-min,0.0773609785659969,0.0690326066835576,0.06740313567794705,0.07665189487127111,0.0700104479111204,0.04172930120172071,0.044902190556197014,0.0690326066835576,0.1097421592862014,0.10974215928620133,0.06903260668355762
baseline-and-advanced,0.08051849483854129,0.0730819694427548,0.07011701948923145,0.07956878296668932,0.0738266378162473,0.046379876987908464,0.05031056585938748,0.0730819694427548,0.11477824005668522,0.11477824005668523,0.07308196944275486
baseline-and-fourier,0.11938111502517977,0.09756761298832124,0.1002430997958087,0.12133348786896617,0.10112966649144751,0.08309369585310954,0.0905143548845536,0.09756761298832124,0.2049774195101196,0.20497741951011964,0.0975676129883213
baseline-and-fourier-min,0.11089431622914725,0.08982502757002088,0.09457896967302541,0.1099189399204871,0.0964745756084346,0.07420064049996705,0.08103212893174377,0.08982502757002088,0.1704166626610334,0.1704166626610334,0.08982502757002085
baseline-only,0.11104274225802696,0.09715958308000693,0.09714984223227588,0.11075949681419064,0.10137002526003633,0.08094553786667386,0.08909596901070627,0.09715958308000693,0.16473603435471473,0.1647360343547147,0.09715958308000691
fourier-min,0.14877042465760598,0.10306629244372471,0.12510585578132796,0.1397484564207165,0.12163563418102409,0.11901139055478618,0.1409963349450412,0.10306629244372471,0.22060729768369902,0.220607297683699,0.10306629244372476
fourier-only,0.13729265152724085,0.10944772025596444,0.1172141054721626,0.13594743574111331,0.11783550057075597,0.10613287843300334,0.12599922377110684,0.10944772025596444,0.2183847116286536,0.2183847116286536,0.10944772025596441
